,연관키워드,type,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,입찰가_m1,입찰가_m2,입찰가_p1,입찰가_p2
0,잠옷,패션의류,15600.0,128600.0,268.1,2951.4,1.78,2.5,15,3,1750.0,1270.0,1990.0,1470.0
1,커플잠옷,패션의류,6320.0,57800.0,166.0,2431.6,2.74,4.49,15,3,1730.0,1450.0,1680.0,1430.0
2,홈웨어,패션의류,3570.0,22400.0,67.3,484.8,1.96,2.34,15,3,1620.0,1520.0,1690.0,1370.0
3,잠옷브랜드,패션의류,1230.0,6080.0,24.9,203.7,2.07,3.59,15,3,1210.0,930.0,1110.0,950.0
4,수면잠옷,패션의류,7740.0,74800.0,42.4,1237.0,0.57,1.77,15,3,1730.0,1100.0,1090.0,900.0
5,실내복,패션의류,1160.0,8590.0,11.5,120.7,1.04,1.51,15,3,2820.0,1860.0,2380.0,1780.0
6,남자잠옷,패션의류,2520.0,15900.0,29.6,417.3,1.25,2.8,15,3,1860.0,1670.0,1940.0,1460.0
7,여성잠옷,패션의류,2030.0,17000.0,36.9,505.3,1.92,3.24,15,3,1740.0,1570.0,1810.0,1440.0
8,내복,패션의류,4660.0,25200.0,18.3,260.6,0.41,1.1,15,3,2100.0,1800.0,2230.0,1820.0
9,잠옷바지,패션의류,1660.0,15100.0,12.3,98.5,0.78,0.71,15,3,1960.0,1160.0,970.0,770.0
10,남자파자마,패션의류,820.0,4660.0,10.0,93.1,1.28,2.19,15,3,1940.0,1240.0,1680.0,1430.0
11,여자잠옷,패션의류,1010.0,9470.0,20.5,315.9,2.11,3.62,15,3,1510.0,1390.0,1560.0,1350.0
12,원마일웨어,패션의류,1220.0,4210.0,4.1,51.5,0.35,1.31,15,3,1860.0,1570.0,2220.0,1590.0
13,룸슈즈,패션잡화,1030.0,4120.0,4.7,25.4,0.46,0.66,15,3,1380.0,570.0,680.0,530.0
14,원피스잠옷,패션의류,1350.0,12400.0,15.3,234.2,1.18,2.05,15,3,1520.0,1050.0,1030.0,830.0
15,실크잠옷,패션의류,1250.0,9950.0,11.3,212.2,0.93,2.3,15,3,1410.0,650.0,670.0,570.0
