,키워드 ID,상태,키워드,키워드 속성,입찰가 유형,입찰가,품질지수,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",노출가능 광고개수(PC),키워드 검색수,검색 상단 노출율(%)
1,nkw-a001-01-000004934212811,중지 : 키워드 검토중,4인식탁,,키워드,2050.0,4.0,0,0,0,0,0,15.0,,0.0
2,nkw-a001-01-000004934212834,중지 : 키워드 검토중,COMPACT,,키워드,630.0,4.0,0,0,0,0,0,15.0,,0.0
3,nkw-a001-01-000004934212826,중지 : 키워드 검토중,CUSHION,,키워드,950.0,4.0,0,0,0,0,0,15.0,,0.0
4,nkw-a001-01-000004934212908,중지 : 키워드 검토중,ESG,,키워드,9080.0,4.0,0,0,0,0,0,15.0,,0.0
5,nkw-a001-01-000004934212906,중지 : 키워드 검토중,ESG경영,,키워드,4670.0,4.0,0,0,0,0,0,15.0,,0.0
6,nkw-a001-01-000004934212832,중지 : 키워드 검토중,FOUNDATION,,키워드,830.0,4.0,0,0,0,0,0,15.0,,0.0
7,nkw-a001-01-000004934212949,중지 : 키워드 검토중,가습기,,키워드,4600.0,4.0,0,0,0,0,0,15.0,,0.0
8,nkw-a001-01-000004934212997,중지 : 키워드 검토중,가습기종류,,키워드,2800.0,4.0,0,0,0,0,0,15.0,,0.0
9,nkw-a001-01-000004934212999,중지 : 키워드 검토중,가습기청소,,키워드,860.0,4.0,0,0,0,0,0,15.0,,0.0
10,nkw-a001-01-000004934212957,중지 : 키워드 검토중,가습기추천,,키워드,4120.0,4.0,0,0,0,0,0,15.0,,0.0
11,nkw-a001-01-000004934212951,중지 : 키워드 검토중,가열식가습기,,키워드,4040.0,4.0,0,0,0,0,0,15.0,,0.0
12,nkw-a001-01-000004934212968,중지 : 키워드 검토중,가열식가습기추천,,키워드,2090.0,4.0,0,0,0,0,0,15.0,,0.0
13,nkw-a001-01-000004934212944,중지 : 키워드 검토중,골프공주머니,,키워드,1760.0,4.0,0,0,0,0,0,15.0,,0.0
14,nkw-a001-01-000004934212940,중지 : 키워드 검토중,골프볼주머니,,키워드,1070.0,4.0,0,0,0,0,0,15.0,,0.0
15,nkw-a001-01-000004934212942,중지 : 키워드 검토중,골프파우치,,키워드,2160.0,4.0,0,0,0,0,0,15.0,,0.0
16,nkw-a001-01-000004934212853,중지 : 키워드 검토중,글랜캐런,,키워드,320.0,4.0,0,0,0,0,0,15.0,,0.0
17,nkw-a001-01-000004934212849,중지 : 키워드 검토중,글렌캐런,,키워드,510.0,4.0,0,0,0,0,0,15.0,,0.0
18,nkw-a001-01-000004934212970,중지 : 키워드 검토중,기화식가습기,,키워드,5740.0,4.0,0,0,0,0,0,15.0,,0.0
19,nkw-a001-01-000004934212838,중지 : 키워드 검토중,나스쿠션,,키워드,1150.0,4.0,0,0,0,0,0,15.0,,0.0
20,nkw-a001-01-000004934212916,중지 : 키워드 검토중,나이아신,,키워드,2690.0,4.0,0,0,0,0,0,15.0,,0.0
21,nkw-a001-01-000004934212840,중지 : 키워드 검토중,네오쿠션,,키워드,1400.0,4.0,0,0,0,0,0,15.0,,0.0
22,nkw-a001-01-000004934212961,중지 : 키워드 검토중,대용량가습기,,키워드,6920.0,4.0,0,0,0,0,0,15.0,,0.0
23,nkw-a001-01-000004934212819,중지 : 키워드 검토중,리뷰이벤트,,키워드,1920.0,4.0,0,0,0,0,0,15.0,,0.0
24,nkw-a001-01-000004934212881,중지 : 키워드 검토중,리페어,,키워드,1070.0,4.0,0,0,0,0,0,15.0,,0.0
25,nkw-a001-01-000004934212830,중지 : 키워드 검토중,메이크업,,키워드,4300.0,4.0,0,0,0,0,0,15.0,,0.0
26,nkw-a001-01-000004934212938,중지 : 키워드 검토중,메이크업베이스,,키워드,2130.0,4.0,0,0,0,0,0,15.0,,0.0
27,nkw-a001-01-000004934212932,중지 : 키워드 검토중,무기자차,,키워드,2160.0,4.0,0,0,0,0,0,15.0,,0.0
28,nkw-a001-01-000004934212926,중지 : 키워드 검토중,무기자차선크림,,키워드,4010.0,4.0,0,0,0,0,0,15.0,,0.0
29,nkw-a001-01-000004934212959,중지 : 키워드 검토중,무드등가습기,,키워드,3350.0,4.0,0,0,0,0,0,15.0,,0.0
30,nkw-a001-01-000004934212974,중지 : 키워드 검토중,무소음가습기,,키워드,2400.0,4.0,0,0,0,0,0,15.0,,0.0
31,nkw-a001-01-000004934212966,중지 : 키워드 검토중,미니가습기,,키워드,5170.0,4.0,0,0,0,0,0,15.0,,0.0
32,nkw-a001-01-000004934212981,중지 : 키워드 검토중,미니가습기추천,,키워드,3110.0,4.0,0,0,0,0,0,15.0,,0.0
33,nkw-a001-01-000004934212910,중지 : 키워드 검토중,미백크림,,키워드,4650.0,4.0,0,0,0,0,0,15.0,,0.0
34,nkw-a001-01-000004934212845,중지 : 키워드 검토중,배개,,키워드,3990.0,4.0,0,0,0,0,0,15.0,,0.0
35,nkw-a001-01-000004934212844,중지 : 키워드 검토중,배게,,키워드,4930.0,4.0,0,0,0,0,0,15.0,,0.0
