,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,키워드,입찰가_모바일_1위
0,잠옷,15600.0,128600.0,268.1,2951.4,1.78,2.5,15,3,잠옷,1750.0
1,커플잠옷,6320.0,57800.0,166.0,2431.6,2.74,4.49,15,3,커플잠옷,1730.0
2,홈웨어,3570.0,22400.0,67.3,484.8,1.96,2.34,15,3,홈웨어,1620.0
3,잠옷브랜드,1230.0,6080.0,24.9,203.7,2.07,3.59,15,3,잠옷브랜드,1210.0
4,수면잠옷,7740.0,74800.0,42.4,1237.0,0.57,1.77,15,3,수면잠옷,1730.0
5,실내복,1160.0,8590.0,11.5,120.7,1.04,1.51,15,3,실내복,2820.0
6,남자잠옷,2520.0,15900.0,29.6,417.3,1.25,2.8,15,3,남자잠옷,1860.0
7,여성잠옷,2030.0,17000.0,36.9,505.3,1.92,3.24,15,3,여성잠옷,1740.0
8,내복,4660.0,25200.0,18.3,260.6,0.41,1.1,15,3,내복,2100.0
9,잠옷바지,1660.0,15100.0,12.3,98.5,0.78,0.71,15,3,잠옷바지,1960.0
10,여자잠옷,1010.0,9470.0,20.5,315.9,2.11,3.62,15,3,여자잠옷,1510.0
11,원마일웨어,1220.0,4210.0,4.1,51.5,0.35,1.31,15,3,원마일웨어,1860.0
12,룸슈즈,1030.0,4120.0,4.7,25.4,0.46,0.66,15,3,룸슈즈,1380.0
13,원피스잠옷,1350.0,12400.0,15.3,234.2,1.18,2.05,15,3,원피스잠옷,1520.0
14,실크잠옷,1250.0,9950.0,11.3,212.2,0.93,2.3,15,3,실크잠옷,1410.0
15,내의,1170.0,5200.0,6.5,74.9,0.58,1.53,15,3,내의,1790.0
16,조스라운지,1430.0,7300.0,22.8,278.0,1.65,4.06,15,3,조스라운지,1350.0
17,파자마파티,1310.0,8970.0,4.7,59.3,0.38,0.71,15,3,파자마파티,1590.0
18,뷔스티에,1330.0,7910.0,0.9,0.7,0.08,0.01,15,3,뷔스티에,1020.0
