,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,물티슈,25800.0,146000.0,26.5,380.3,0.11,0.28,15,3
1,아기물티슈,2040.0,14500.0,4.3,155.8,0.22,1.14,15,3
2,대용량물티슈,1500.0,9360.0,3.5,131.2,0.25,1.48,15,3
3,두루마리휴지,6350.0,31500.0,10.6,314.7,0.18,1.06,15,3
5,스트레치필름,3040.0,3010.0,19.4,43.3,0.68,1.56,15,3
10,화장지,7470.0,37400.0,18.0,321.0,0.26,0.92,15,3
12,각티슈,6230.0,21500.0,12.9,111.7,0.22,0.56,15,3
15,착한화장지,1340.0,6560.0,2.4,76.5,0.19,1.24,15,3
19,휴지30롤,2020.0,15600.0,8.0,272.5,0.42,1.85,15,3
24,화장지30롤,1670.0,12900.0,9.3,292.6,0.6,2.4,15,3
27,휴지,10900.0,45400.0,11.2,280.2,0.11,0.66,15,3
46,크리넥스,3880.0,16300.0,3.7,54.8,0.1,0.36,15,3
49,점보롤휴지,1030.0,1380.0,7.0,25.1,0.72,1.92,15,3
51,공업용랩,1530.0,3880.0,16.1,44.8,1.12,1.2,15,3
53,곽티슈,2480.0,6110.0,3.6,26.3,0.16,0.46,15,3
56,티슈,1250.0,4500.0,1.0,18.5,0.09,0.44,15,3
57,핸드타월,1710.0,2710.0,4.7,26.8,0.3,1.06,15,3
82,출산준비물리스트,2900.0,12100.0,2.5,49.7,0.09,0.44,15,3
95,갑티슈,1540.0,3680.0,1.3,1.5,0.09,0.05,15,3
97,소독티슈,1380.0,5200.0,2.6,24.1,0.2,0.5,15,3
224,아기용품,1440.0,6300.0,11.1,68.8,0.81,1.18,15,3
269,뽑아쓰는키친타올,1020.0,6090.0,2.1,59.9,0.22,1.06,15,3
311,출산준비물,1440.0,4760.0,2.0,26.4,0.15,0.59,15,3
317,유아용품,1080.0,2540.0,10.0,29.3,0.96,1.24,15,3
326,플라스틱용기,1290.0,2300.0,48.7,48.1,3.94,2.23,15,3
334,디데이달력,1060.0,7080.0,0.7,50.8,0.07,0.77,15,3
367,티셔츠제작,2410.0,4170.0,73.3,205.0,3.21,5.27,15,3
379,손톱깍이,1030.0,2610.0,2.3,16.1,0.24,0.67,15,3
381,써큘레이터,2070.0,10100.0,1.1,59.0,0.06,0.63,15,3
386,농구공,3280.0,18400.0,6.7,109.8,0.22,0.64,15,3
402,손소독제,5060.0,11300.0,11.1,52.2,0.23,0.49,15,3
415,세탁세제추천,1040.0,12600.0,3.7,111.0,0.38,0.95,15,3
463,일회용행주,2330.0,4970.0,0.9,21.5,0.04,0.46,15,3
469,메모지,3610.0,4110.0,4.3,26.9,0.13,0.7,15,3
493,펑크린,1240.0,6200.0,0.5,25.8,0.04,0.45,15,3
505,캐니스터,1530.0,3900.0,0.9,0.0,0.06,0.0,15,3
506,커피잔세트,1390.0,6680.0,3.7,94.8,0.28,1.53,15,3
518,양은냄비,1750.0,10500.0,2.8,65.5,0.17,0.66,15,3
526,머니클립,1470.0,8150.0,1.1,28.8,0.09,0.39,15,3
527,미끄럼방지스티커,1210.0,4370.0,5.4,36.8,0.47,0.91,15,3
528,베이비파우더,1210.0,6750.0,1.6,42.8,0.14,0.68,15,3
533,티크린,1140.0,4390.0,4.0,67.3,0.38,1.67,15,3
535,자동차커버,2040.0,7690.0,9.1,125.3,0.48,1.74,15,3
538,드라이샴푸,3290.0,26200.0,3.1,220.3,0.11,0.92,15,3
547,수저세트,4710.0,33400.0,10.9,291.0,0.25,0.93,15,3
554,가성소다,3190.0,6570.0,19.1,87.3,0.63,1.43,15,3
555,글리세린,5440.0,21400.0,10.8,128.0,0.21,0.64,15,3
562,생분해플라스틱,1090.0,1970.0,9.5,29.5,0.9,1.56,15,3
580,클리너,1260.0,1720.0,0.3,1.3,0.03,0.08,15,3
582,재활용품,1330.0,2150.0,1.3,0.3,0.11,0.02,15,3
585,토끼인형,1750.0,17000.0,5.8,130.3,0.35,0.82,15,3
603,임산부선물,2400.0,12100.0,3.5,54.0,0.16,0.48,15,3
608,신생아선물,2300.0,14200.0,7.5,113.0,0.35,0.85,15,3
619,테이팩스,6940.0,19300.0,0.5,1.3,0.01,0.01,15,3
647,캠핑냄비,1380.0,7800.0,5.1,83.6,0.4,1.15,15,3
665,뽁뽁이,8880.0,48800.0,84.3,632.4,1.0,1.35,15,3
677,답례품,13000.0,82100.0,128.9,1389.2,1.04,1.77,15,3
678,구디백,5920.0,42000.0,27.3,609.0,0.48,1.54,15,3
680,돌잔치답례품,2190.0,19000.0,37.6,672.3,1.82,3.75,15,3
681,결혼답례품,2890.0,16300.0,35.5,356.8,1.29,2.29,15,3
682,결혼식답례품,4800.0,36300.0,40.9,710.4,0.9,2.06,15,3
683,쿠키답례품,1090.0,5530.0,27.3,213.2,2.6,4.11,15,3
685,답례품쿠키,1450.0,7220.0,24.5,274.0,1.76,4.02,15,3
686,과자선물세트,1730.0,6370.0,10.7,149.1,0.65,2.46,15,3
687,주문제작,1170.0,2560.0,5.7,26.8,0.52,1.12,15,3
688,소량인쇄,1530.0,1630.0,61.6,64.1,4.21,4.12,15,3
689,돌답례품,1930.0,16700.0,26.1,520.3,1.43,3.31,15,3
693,판촉,3370.0,3620.0,109.4,60.8,3.39,1.79,15,3
697,홍보물품,1840.0,1190.0,68.2,46.0,3.86,4.19,15,3
698,과자세트,1560.0,4780.0,9.2,74.0,0.62,1.63,15,3
699,웨딩촬영간식,1100.0,6370.0,10.1,114.0,0.96,1.9,15,3
705,간식세트,1160.0,2400.0,6.4,14.9,0.58,0.67,15,3
706,홍보물,1590.0,1030.0,47.7,26.6,3.17,2.73,15,3
711,사은품,2180.0,2890.0,25.7,66.4,1.25,2.47,15,3
737,어린이집답례품,1450.0,18300.0,1.6,30.4,0.12,0.18,15,3
783,개업선물,2840.0,21000.0,4.6,120.8,0.18,0.62,15,3
800,100일선물,2350.0,18800.0,3.0,128.6,0.14,0.73,15,3
827,칠순선물,1120.0,6430.0,2.9,51.7,0.27,0.87,15,3
853,청소용품,2390.0,4500.0,85.0,136.6,3.77,3.24,15,3
858,GWP,2750.0,2550.0,2.6,0.5,0.1,0.03,12,2
860,돌잔치선물,1240.0,7720.0,1.1,32.5,0.1,0.46,15,3
910,기념품샵,1240.0,2890.0,57.5,128.9,4.87,4.82,15,3
926,돌,3370.0,13400.0,2.9,19.0,0.09,0.16,15,3
937,체온계,5030.0,28800.0,8.8,324.5,0.19,1.2,15,3
966,경품이벤트,1580.0,3460.0,3.9,35.1,0.27,1.09,15,3
972,경품,2720.0,2960.0,2.3,9.2,0.09,0.33,15,3
1019,티셔츠,4830.0,27700.0,8.9,78.0,0.2,0.31,15,3
1033,퇴사선물,3080.0,11500.0,4.3,37.2,0.15,0.35,15,3
1082,제주도기념품,2170.0,16200.0,4.2,200.5,0.21,1.33,15,3
1106,제주도선물,1570.0,9990.0,2.7,98.9,0.18,1.07,15,3
1125,합격기원선물,1030.0,6560.0,3.7,74.7,0.37,1.17,15,3
1128,제주도소품샵,1070.0,7300.0,3.7,50.0,0.38,0.74,15,3
1129,월정리맛집,1150.0,13200.0,1.5,129.5,0.15,1.07,15,3
1139,제주공항근처가볼만한곳,1190.0,14100.0,2.1,89.3,0.19,0.68,15,3
1154,어버이날,1990.0,5970.0,0.3,1.3,0.02,0.03,15,3
1189,우도땅콩,1090.0,9010.0,2.1,86.6,0.21,1.04,14,3
1190,제주소품샵,1150.0,10200.0,6.7,113.4,0.63,1.19,15,3
1198,졸음껌,1250.0,5030.0,3.5,53.1,0.3,1.13,15,3
1199,어린이집생일답례품,1550.0,16100.0,2.9,95.3,0.2,0.63,15,3
1206,아라동맛집,1180.0,9080.0,0.8,5.0,0.08,0.06,15,3
1241,쿠키세트,1090.0,4020.0,4.4,24.0,0.42,0.63,15,3
1245,TOP커피,1190.0,6560.0,1.4,56.4,0.13,0.93,15,3
1284,집들이선물,21300.0,99700.0,14.7,407.3,0.08,0.44,15,3
1294,생일선물,7520.0,53100.0,8.7,172.5,0.13,0.35,15,3
1303,우디향,1200.0,5810.0,0.8,2.6,0.08,0.05,15,3
1309,젖병소독기,5650.0,70700.0,22.3,334.8,0.42,0.49,15,3
1311,유팡,2740.0,14800.0,19.3,402.0,0.75,2.91,15,3
1312,유팡젖병소독기,3070.0,32200.0,17.9,564.5,0.62,1.87,15,3
1315,출산선물,5880.0,31700.0,13.4,147.8,0.25,0.5,15,3
1320,젖병건조대,1080.0,8570.0,1.5,1.3,0.15,0.02,15,3
1322,유아용품,1080.0,2540.0,10.0,29.3,0.96,1.24,15,3
1324,출산준비물리스트,2900.0,12100.0,2.5,49.7,0.09,0.44,15,3
1340,식기살균건조기,1200.0,6690.0,10.4,122.7,0.91,1.93,15,3
1341,살균기,1380.0,1670.0,3.5,12.7,0.26,0.81,15,3
1348,출산준비물,1440.0,4760.0,2.0,26.4,0.15,0.59,15,3
1361,출산용품리스트,1770.0,4460.0,1.3,15.8,0.08,0.38,15,3
1368,임산부선물,2400.0,12100.0,3.5,54.0,0.16,0.48,15,3
1372,무드등,11400.0,70100.0,30.8,329.8,0.29,0.5,15,3
1373,젖병,2440.0,16700.0,6.5,153.8,0.29,0.98,15,3
1374,신생아선물,2300.0,14200.0,7.5,113.0,0.35,0.85,15,3
1376,베이비시터,2990.0,19300.0,53.5,855.6,1.89,4.73,15,3
1402,임신축하선물,1570.0,7850.0,5.4,127.8,0.36,1.74,15,3
1435,유아학습지,1280.0,3070.0,9.4,80.8,0.77,2.79,15,3
1441,임신,4510.0,30900.0,0.1,2.3,0.01,0.01,15,3
1449,임신선물,1330.0,7130.0,1.1,25.3,0.09,0.38,15,3
1473,신생아침대,1530.0,9120.0,7.5,114.9,0.51,1.35,15,3
1475,바운서,2370.0,21500.0,1.2,90.2,0.06,0.45,15,3
1494,하기스기저귀,1220.0,18300.0,2.7,163.0,0.24,0.95,15,3
1516,아기용품,1440.0,6300.0,11.1,68.8,0.81,1.18,15,3
1572,유교전,1610.0,7280.0,0.3,0.3,0.03,0.01,3,3
1586,아기이불,1620.0,20500.0,10.8,261.5,0.7,1.37,15,3
1593,코엑스베이비페어,2600.0,16700.0,0.4,2.3,0.02,0.02,15,3
1601,베이비페어,12100.0,83200.0,7.1,108.8,0.07,0.15,15,3
1614,브라이텍스카시트,1450.0,18800.0,1.6,2.0,0.12,0.02,14,3
1615,부산벡스코,8520.0,26900.0,12.8,172.0,0.16,0.69,9,2
1616,기저귀갈이대,2510.0,20500.0,5.5,79.5,0.23,0.42,15,3
1627,유아패딩,2110.0,26800.0,17.3,321.7,0.85,1.25,15,3
1649,기저귀가방,4690.0,62700.0,9.3,309.7,0.22,0.53,15,3
1650,기저귀,6520.0,35800.0,11.0,149.2,0.18,0.45,15,3
1663,모빌,3930.0,18000.0,5.2,172.0,0.15,1.03,15,3
1671,기저귀교환대,2480.0,4520.0,13.2,2.2,0.55,0.06,15,3
1677,대형쿠션,2230.0,10000.0,6.5,132.8,0.32,1.41,15,3
1684,육아,3050.0,6800.0,2.1,0.3,0.08,0.01,15,3
1689,쪽쪽이,1660.0,22300.0,3.1,229.8,0.2,1.1,15,3
1696,아기체육관,2350.0,30500.0,1.4,178.3,0.07,0.63,15,3
1702,부산베이비페어,1040.0,6970.0,1.7,17.1,0.17,0.26,12,2
1711,임산부의날,1080.0,1590.0,0.0,1.2,0.0,0.09,15,3
1714,수면등,1180.0,12700.0,5.6,86.5,0.51,0.72,15,3
1722,전시회,41400.0,139300.0,46.7,14.3,0.12,0.02,15,3
1723,박람회,26000.0,50600.0,8.8,10.5,0.04,0.03,15,3
1725,초점책,1200.0,10200.0,3.8,142.5,0.34,1.49,15,3
1733,아기비데,2020.0,24600.0,1.8,1.7,0.1,0.01,13,2
1762,신생아기저귀,1120.0,11600.0,3.2,108.3,0.3,1.0,15,3
