,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,학지사,3740.0,2420.0,2.0,1.3,0.06,0.06,10,2
1,학지사인싸이트,5660.0,1720.0,139.0,46.0,2.62,5.94,1,1
4,티츄,1320.0,3700.0,2.8,21.7,0.24,0.64,11,2
6,블리츠,18500.0,7560.0,2.8,23.9,0.02,0.35,15,3
10,의학용어,8810.0,17900.0,2.0,5.0,0.03,0.04,12,2
61,정다면체,1170.0,3910.0,0.0,1.0,0.0,0.03,3,3
136,시장놀이,1380.0,1640.0,0.0,0.3,0.0,0.03,3,3
145,골드버그,1510.0,4970.0,0.7,1.0,0.05,0.03,15,3
170,색종이접기,1090.0,7720.0,1.3,25.3,0.14,0.35,15,3
207,푸에르토리코,8710.0,38800.0,0.3,1.0,0.01,0.01,3,3
208,풍선아트,1200.0,5090.0,7.5,46.3,0.65,0.98,15,3
215,비밀의집,8110.0,32200.0,0.0,1.7,0.0,0.01,3,3
230,피지컬컴퓨팅,1360.0,1010.0,0.6,0.0,0.05,0.0,15,3
257,나의문화유산답사기,2920.0,20000.0,5.7,190.1,0.2,0.96,10,2
258,시나공,8370.0,3360.0,6.0,0.3,0.08,0.02,8,2
261,전한길한국사,1240.0,3990.0,0.2,134.5,0.02,3.65,12,2
267,참을수없는존재의가벼움,2630.0,9950.0,2.3,2.3,0.1,0.03,9,2
268,사람은무엇으로사는가,2100.0,6340.0,0.9,0.7,0.05,0.02,10,2
270,푸른사자와니니,1540.0,7680.0,2.1,71.2,0.15,0.99,12,2
280,초점책,1200.0,10200.0,3.8,142.5,0.34,1.49,15,3
296,변신,5280.0,27000.0,0.3,0.7,0.01,0.01,3,3
303,역사란무엇인가,1170.0,2030.0,1.7,0.0,0.15,0.0,6,2
333,카네기인간관계론,1270.0,4540.0,0.8,10.7,0.07,0.25,12,2
339,장미의이름,1120.0,3180.0,0.7,0.3,0.07,0.02,9,2
