,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,화환,17900.0,58000.0,342.8,1863.0,2.04,3.43,15,3
1,근조화환,13100.0,42000.0,237.0,1716.0,1.89,4.31,15,3
2,축하화환,5470.0,25900.0,120.8,1134.3,2.36,4.7,15,3
3,개업화환,3520.0,11800.0,54.4,577.2,1.61,5.22,15,3
4,결혼식화환,3490.0,10400.0,68.2,375.8,2.13,4.0,15,3
5,화한,2130.0,6290.0,25.7,186.0,1.28,3.17,15,3
6,결혼화환,1250.0,3050.0,28.3,151.4,2.48,5.56,15,3
7,장례화환,1430.0,9820.0,41.4,540.6,3.08,5.9,15,3
42,결혼식화환문구,2380.0,5570.0,6.7,52.5,0.31,1.05,15,3
75,결혼화환문구,1530.0,3180.0,5.3,33.0,0.38,1.15,15,3
95,근조,24300.0,82600.0,10.1,126.4,0.05,0.16,15,3
99,장례식화환,1180.0,6090.0,14.3,128.1,1.28,2.24,15,3
156,꽃배달서비스,3370.0,10000.0,66.7,814.2,2.11,8.73,15,3
184,조의,7270.0,25900.0,1.1,8.1,0.02,0.04,15,3
185,당일꽃배달,2210.0,2500.0,13.7,138.0,0.67,5.94,15,3
187,축결혼,4630.0,6230.0,0.9,5.3,0.03,0.1,15,3
199,부의,16200.0,46600.0,0.7,3.0,0.01,0.01,3,3
205,삼가고인의명복을빕니다,10600.0,71500.0,4.5,100.8,0.05,0.15,15,3
221,화환문구,1240.0,3580.0,2.6,31.5,0.23,0.94,15,3
233,축화혼,2850.0,5220.0,0.9,19.3,0.04,0.44,15,3
245,조문,6990.0,29400.0,0.8,2.3,0.02,0.01,15,3
254,근조화환문구,1290.0,2720.0,5.0,51.3,0.41,2.0,15,3
270,결혼축하문구,1730.0,7180.0,2.0,2.0,0.13,0.04,13,2
320,분향소,5420.0,23300.0,0.3,1.3,0.01,0.01,3,3
334,개업화분,9180.0,89000.0,170.0,1739.4,1.97,2.02,15,3
335,화분,14000.0,63000.0,103.7,833.3,0.79,1.43,15,3
336,화분배달,2950.0,5570.0,32.8,227.8,1.19,4.25,15,3
337,축하화분,1820.0,5660.0,46.1,230.2,2.67,4.32,15,3
338,개업축하화분,1250.0,5370.0,29.3,204.6,2.46,4.09,15,3
339,대형화분,2450.0,12100.0,32.7,215.9,1.42,1.92,15,3
371,개업,1040.0,3350.0,0.8,1.9,0.09,0.07,15,3
400,돈나무,2610.0,24600.0,8.0,347.3,0.33,1.52,15,3
409,관엽식물,1510.0,6060.0,8.7,87.8,0.61,1.57,15,3
415,뱅갈고무나무,3490.0,35100.0,18.0,437.5,0.55,1.35,15,3
