,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,샴푸,14300.0,112300.0,42.6,521.4,0.32,0.51,15,3
3,탈모샴푸,10900.0,74000.0,35.5,531.5,0.35,0.77,15,3
4,약산성샴푸,1820.0,37200.0,5.2,118.3,0.31,0.39,15,3
11,아기로션,1890.0,11600.0,2.7,27.6,0.15,0.25,15,3
15,두피샴푸,1200.0,10600.0,3.2,41.0,0.28,0.41,15,3
21,샴푸추천,3940.0,32300.0,9.9,280.3,0.27,0.93,15,3
22,지루성두피염샴푸,2210.0,14400.0,12.2,314.0,0.58,2.34,15,3
27,미용실샴푸,1780.0,15800.0,5.0,205.5,0.3,1.39,15,3
29,바디워시,8890.0,79200.0,15.9,297.0,0.19,0.4,15,3
30,지성샴푸,1560.0,10100.0,3.4,86.8,0.23,0.91,15,3
37,헤어트리트먼트,2440.0,19100.0,9.9,102.3,0.43,0.57,15,3
42,피부,2310.0,7320.0,1.8,3.5,0.09,0.06,15,3
63,린스,1740.0,11300.0,1.4,45.8,0.09,0.43,15,3
67,탈모샴푸1위,1420.0,12600.0,6.1,296.2,0.45,2.49,15,3
75,두피스케일링,2270.0,17700.0,6.6,162.8,0.31,0.98,15,3
85,디퓨저,14100.0,42400.0,29.9,391.0,0.23,0.99,15,3
101,M자탈모,1090.0,9360.0,1.5,29.5,0.14,0.34,15,3
111,정수리탈모,1830.0,18000.0,2.3,63.8,0.14,0.38,15,3
152,대용량샴푸,1250.0,5540.0,2.8,38.8,0.24,0.75,15,3
272,탈모샴푸추천,1240.0,15800.0,3.5,82.0,0.3,0.57,15,3
292,디퓨저추천,1350.0,6950.0,3.4,62.5,0.27,0.96,15,3
308,올리브영샴푸,1100.0,6730.0,1.1,46.3,0.11,0.74,11,2
332,탈모예방,1520.0,13700.0,3.5,116.3,0.24,0.9,15,3
380,지루성두피염,3780.0,29000.0,4.6,101.0,0.13,0.38,15,3
414,TS샴푸,7190.0,49900.0,24.4,909.0,0.37,1.95,15,3
418,샴푸바,3950.0,15300.0,21.3,134.5,0.56,0.92,15,3
430,트리트먼트,5890.0,44300.0,6.6,226.5,0.12,0.55,15,3
