,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,잠옷,16000.0,127200.0,268.1,2951.4,1.78,2.5,15,3
1,커플잠옷,6410.0,57100.0,166.0,2431.6,2.74,4.49,15,3
2,홈웨어,3640.0,22400.0,67.3,484.8,1.96,2.34,15,3
3,잠옷브랜드,1260.0,6010.0,24.9,203.7,2.07,3.59,15,3
10,수면잠옷,7910.0,74300.0,42.4,1237.0,0.57,1.77,15,3
11,실내복,1190.0,8590.0,11.5,120.7,1.04,1.51,15,3
17,남자잠옷,2530.0,15800.0,29.6,417.3,1.25,2.8,15,3
20,여성잠옷,2060.0,16900.0,36.9,505.3,1.92,3.24,15,3
21,내복,4690.0,25100.0,18.3,260.6,0.41,1.1,15,3
27,잠옷바지,1690.0,14900.0,12.3,98.5,0.78,0.71,15,3
43,여자잠옷,1020.0,9410.0,20.5,315.9,2.11,3.62,15,3
51,원마일웨어,1250.0,4180.0,4.1,51.5,0.35,1.31,15,3
59,룸슈즈,1060.0,4100.0,4.7,25.4,0.46,0.66,15,3
66,원피스잠옷,1360.0,12200.0,15.3,234.2,1.18,2.05,15,3
69,실크잠옷,1260.0,9880.0,11.3,212.2,0.93,2.3,15,3
70,내의,1170.0,5210.0,6.5,74.9,0.58,1.53,15,3
90,기모잠옷,1010.0,7640.0,10.1,108.5,1.05,1.51,15,3
113,조스라운지,1470.0,7300.0,22.8,278.0,1.65,4.06,15,3
167,파자마파티,1330.0,8930.0,4.7,59.3,0.38,0.71,15,3
173,뷔스티에,1360.0,7840.0,0.9,0.7,0.08,0.01,15,3
232,수면잠옷세트,1070.0,9830.0,7.1,125.6,0.71,1.35,15,3
364,극세사잠옷,3200.0,29900.0,24.9,570.1,0.81,2.02,15,3
422,남성잠옷,1810.0,12200.0,23.1,259.6,1.36,2.26,15,3
498,겨울잠옷,4660.0,31100.0,44.5,588.7,1.01,2.01,15,3
501,수면바지,5190.0,33900.0,14.3,247.9,0.3,0.78,15,3
600,여성티셔츠,1960.0,25100.0,22.2,167.6,1.23,0.73,15,3
611,내셔널지오그래픽패딩,18400.0,299300.0,67.3,2776.9,0.39,0.98,15,3
612,비비안웨스트우드가디건,3200.0,40100.0,17.9,457.6,0.61,1.27,15,3
613,폴로맨투맨,5210.0,57300.0,28.0,472.8,0.58,0.9,15,3
614,스투시후드티,3440.0,36900.0,29.8,407.0,0.94,1.2,15,3
616,내셔널지오그래픽숏패딩,1650.0,18700.0,2.7,173.8,0.17,0.97,15,3
617,무스너클버니스웨터,1080.0,16400.0,3.6,163.1,0.36,1.07,15,3
618,내셔널지오그래픽맨투맨,3730.0,49100.0,16.2,291.8,0.48,0.64,15,3
619,내셔널지오그래픽후리스,6110.0,93500.0,26.7,737.0,0.46,0.82,15,3
621,내셔널지오그래픽롱패딩,3440.0,28000.0,6.1,128.9,0.19,0.48,15,3
622,타미맨투맨,1200.0,14700.0,4.4,61.4,0.4,0.45,15,3
623,스투시,31900.0,192100.0,69.7,659.3,0.24,0.37,15,3
624,NATIONALGEOGRAPHIC,1290.0,8020.0,2.1,251.6,0.18,3.32,15,3
627,내셔널지오그래픽경량패딩,13900.0,167400.0,76.3,2671.5,0.57,1.67,15,3
629,네셔널지오그래픽후리스,3590.0,38600.0,18.2,638.1,0.53,1.72,15,3
635,네셔널지오그래픽,1820.0,25400.0,7.9,324.9,0.45,1.35,15,3
