,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,실내화,9060.0,54700.0,36.8,304.0,0.43,0.6,15,3
1,장갑,11300.0,57400.0,21.6,203.0,0.2,0.37,15,3
2,거실실내화,2200.0,15700.0,26.9,180.7,1.3,1.23,15,3
3,실내슬리퍼,4570.0,24100.0,20.1,192.3,0.47,0.86,15,3
4,털실내화,14200.0,55300.0,55.1,138.6,0.4,0.27,15,3
5,사무실슬리퍼,7980.0,23000.0,38.2,236.3,0.5,1.1,15,3
7,명품신발,1260.0,11000.0,10.3,190.9,0.88,1.87,15,3
8,핫팩,46400.0,250400.0,96.4,1627.1,0.22,0.69,15,3
10,거실화,2440.0,15600.0,20.6,153.8,0.89,1.06,15,3
11,겨울슬리퍼,10000.0,67600.0,46.1,494.7,0.48,0.77,15,3
12,슬리퍼,19900.0,99700.0,72.1,818.3,0.39,0.88,15,3
13,털슬리퍼,23200.0,142600.0,102.5,330.7,0.46,0.25,15,3
14,사무실실내화,1550.0,11000.0,12.1,42.3,0.82,0.39,15,3
16,뜨개질,5700.0,32900.0,61.3,846.0,1.13,2.71,15,3
17,귀마개,9690.0,57800.0,10.3,380.8,0.12,0.69,15,3
18,거실슬리퍼,1300.0,8700.0,12.1,77.8,0.98,0.96,15,3
19,방석,9870.0,48700.0,47.1,446.7,0.51,0.97,15,3
22,겨울실내화,4900.0,28300.0,24.1,92.6,0.52,0.34,15,3
23,신발,12700.0,78600.0,66.3,586.9,0.56,0.81,15,3
26,무릎담요,10000.0,41300.0,45.6,423.3,0.48,1.09,15,3
31,방한모자,2680.0,12000.0,12.8,95.9,0.49,0.83,15,3
33,벙어리장갑,2430.0,12600.0,8.3,22.5,0.36,0.19,15,3
35,손난로,13100.0,43800.0,26.3,255.8,0.21,0.61,15,3
37,덧신,3160.0,14700.0,7.4,98.3,0.26,0.72,15,3
39,담요,12700.0,74000.0,31.9,446.6,0.27,0.64,15,3
40,겨울실내슬리퍼,1220.0,4880.0,8.4,54.5,0.71,1.17,15,3
44,바디필로우,6960.0,52900.0,35.9,693.6,0.55,1.4,15,3
45,보온병,6080.0,41300.0,15.3,284.5,0.27,0.73,15,3
49,수면양말,9410.0,58100.0,36.1,894.2,0.41,1.63,15,3
50,찜질팩,4510.0,32100.0,21.5,584.1,0.51,1.93,15,3
55,붙이는핫팩,4180.0,23900.0,6.7,326.3,0.17,1.42,15,3
58,유아양말,1260.0,14800.0,6.3,76.8,0.53,0.55,15,3
60,눈썰매,1320.0,5650.0,1.3,25.4,0.11,0.47,15,3
61,남자신발,4780.0,22000.0,31.0,232.3,0.69,1.13,15,3
66,극세사담요,4060.0,24800.0,9.2,158.8,0.25,0.69,15,3
75,남자구두,5750.0,28500.0,48.2,189.8,0.89,0.72,15,3
76,방한귀마개,1440.0,4680.0,3.1,40.4,0.22,0.9,15,3
78,여성로퍼,6100.0,67800.0,54.7,595.3,0.96,0.96,15,3
80,남성구두,4620.0,22200.0,51.6,229.8,1.19,1.11,15,3
81,겨울모자,3480.0,32600.0,18.8,249.0,0.56,0.8,15,3
83,털장갑,1090.0,4730.0,2.2,14.1,0.21,0.31,15,3
84,족저근막염슬리퍼,2040.0,12800.0,26.4,448.8,1.38,3.8,15,3
85,발편한슬리퍼,1140.0,6460.0,11.1,140.4,1.05,2.35,15,3
110,룸슈즈,1060.0,4100.0,4.7,25.4,0.46,0.66,15,3
146,삼선슬리퍼,1210.0,3810.0,1.3,14.5,0.12,0.41,15,3
182,작업화,2490.0,9930.0,13.9,87.5,0.59,0.95,15,3
241,방한실내화,1050.0,3960.0,4.7,29.7,0.46,0.79,15,3
253,주방화,1280.0,7260.0,8.0,153.5,0.66,2.26,15,3
272,베어파우털슬리퍼,1270.0,11600.0,6.3,137.6,0.52,1.24,15,3
299,EVA슬리퍼,1090.0,4940.0,2.9,39.5,0.28,0.87,15,3
307,사무실털실내화,2350.0,5370.0,8.0,30.4,0.35,0.59,15,3
311,화장실슬리퍼,1390.0,5500.0,3.0,59.8,0.25,1.15,15,3
349,양털슬리퍼,1800.0,18100.0,8.1,114.3,0.48,0.67,15,3
351,여성겨울슬리퍼,1090.0,7880.0,17.4,249.3,1.66,3.32,15,3
390,방한슬리퍼,4170.0,18400.0,16.3,102.7,0.41,0.58,15,3
403,층간소음실내화,1570.0,16700.0,9.9,270.5,0.68,1.71,15,3
404,층간소음슬리퍼,1700.0,9640.0,8.9,152.5,0.55,1.69,15,3
424,남자슬리퍼,1680.0,9020.0,5.3,79.5,0.34,0.95,15,3
490,전기장판추천,1640.0,9490.0,14.8,275.8,0.96,3.11,15,3
493,사무실발난로,7230.0,17400.0,24.3,19.1,0.35,0.12,15,3
496,겨울장갑,3690.0,12500.0,10.7,71.3,0.31,0.59,15,3
501,발난로,15700.0,29400.0,32.4,176.0,0.22,0.62,15,3
503,마이핫보온대,4810.0,23500.0,14.4,290.0,0.32,1.27,15,3
505,박상병핫팩,1040.0,3950.0,2.3,38.1,0.23,1.0,15,3
508,온열조끼,1250.0,4880.0,7.3,165.9,0.62,3.53,15,3
512,납품,4090.0,4250.0,0.3,3.0,0.01,0.08,15,3
515,털모자,2550.0,17100.0,6.7,30.8,0.27,0.19,15,3
527,가죽장갑,2220.0,9400.0,9.9,117.4,0.47,1.31,15,3
528,해피데이핫팩,1290.0,4180.0,2.9,32.0,0.24,0.8,15,3
