,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,오메가3,37900.0,264500.0,129.3,2429.3,0.37,0.97,15,3
1,초임계알티지오메가3,3870.0,27600.0,18.4,422.0,0.52,1.62,15,3
2,식물성알티지오메가3,2160.0,21400.0,18.8,487.6,0.92,2.37,15,3
3,알티지오메가3,6900.0,64400.0,21.3,926.8,0.33,1.54,15,3
4,오메가3효능,5170.0,38600.0,7.9,490.0,0.17,1.37,15,3
5,오메가3추천,3170.0,18800.0,22.2,479.2,0.75,2.72,15,3
6,RTG오메가3,3570.0,23400.0,13.5,375.4,0.41,1.7,15,3
8,알티지오메가3추천,1680.0,6590.0,6.2,215.4,0.41,3.5,15,3
13,초임계오메가3,1170.0,3800.0,0.5,29.8,0.06,0.82,15,3
27,식물성오메가3,2130.0,13100.0,15.3,163.6,0.77,1.33,15,3
35,오메가,9960.0,42200.0,2.1,12.2,0.03,0.04,15,3
40,노르딕오메가3,1440.0,6090.0,1.4,51.5,0.11,0.91,15,3
79,DHA,1660.0,5180.0,1.1,78.5,0.08,1.59,15,3
96,알티지오메가,1670.0,3300.0,1.7,34.0,0.12,1.08,15,3
102,EPA,2080.0,3810.0,1.1,26.3,0.06,0.74,15,3
103,초임계,1120.0,3320.0,0.9,22.3,0.09,0.71,15,3
152,임산부오메가3,1780.0,15000.0,4.7,92.0,0.28,0.65,15,3
195,중성지방낮추는법,2730.0,20600.0,3.3,197.3,0.13,1.03,15,3
210,중성지방,5980.0,29700.0,1.2,37.4,0.03,0.14,15,3
263,어린이오메가3,1300.0,3870.0,1.8,66.2,0.15,1.82,15,3
294,혈액순환영양제,2520.0,30600.0,11.1,569.6,0.47,1.98,15,3
303,콜레스테롤높은이유,2320.0,24200.0,0.0,6.7,0.0,0.03,3,3
316,총콜레스테롤,1010.0,3370.0,0.2,4.5,0.03,0.15,15,3
324,혈액순환,1800.0,8990.0,1.9,48.8,0.12,0.59,15,3
332,혈관,1520.0,4110.0,0.6,0.3,0.05,0.01,10,2
356,혈압,5160.0,40500.0,1.0,3.7,0.03,0.01,13,2
363,고콜레스테롤혈증,1310.0,6740.0,0.5,42.9,0.04,0.68,15,3
372,양배추즙,7910.0,59000.0,37.4,650.1,0.5,1.18,15,3
377,양배추효능,2170.0,21900.0,2.4,200.0,0.12,0.98,15,3
379,죽,4660.0,46400.0,8.9,156.0,0.21,0.36,15,3
380,양배추즙효능,1170.0,9230.0,1.5,81.0,0.14,0.95,15,3
388,위에좋은음식,2560.0,27800.0,1.7,318.5,0.07,1.23,15,3
390,장염에좋은음식,1910.0,20200.0,0.5,87.0,0.03,0.47,15,3
418,양배추,5690.0,35000.0,2.6,4.0,0.05,0.02,15,3
458,위염에좋은음식,2050.0,21600.0,1.2,184.3,0.07,0.91,15,3
477,양배추요리,4540.0,44500.0,0.8,4.7,0.02,0.02,14,3
478,역류성식도염에좋은음식,1290.0,11400.0,1.1,92.0,0.1,0.86,15,3
482,역류성식도염좋은음식,1700.0,18900.0,2.4,187.0,0.15,1.06,15,3
488,속쓰릴때,1070.0,18300.0,0.6,3.7,0.06,0.03,14,3
505,소화잘되는음식,2260.0,22900.0,1.3,75.3,0.07,0.36,15,3
522,위영양제,1400.0,9490.0,7.7,148.0,0.58,1.65,15,3
529,비트효능,1930.0,26100.0,6.1,512.3,0.34,2.08,15,3
540,속쓰림,2160.0,12100.0,0.5,4.0,0.03,0.04,15,3
546,양배추환,2790.0,15500.0,8.1,216.5,0.32,1.47,15,3
572,순수식품,2030.0,6720.0,4.7,2.3,0.25,0.04,15,3
579,양배추가루,1240.0,3060.0,0.3,27.5,0.03,0.92,15,3
584,소화안될때,1260.0,19300.0,0.3,82.5,0.03,0.46,15,3
588,비건,9860.0,29100.0,5.5,45.0,0.06,0.17,15,3
591,브로콜리효능,1420.0,10400.0,0.5,48.1,0.04,0.49,15,3
596,장에좋은음식,1070.0,11500.0,0.5,87.0,0.06,0.81,15,3
599,마효능,1020.0,13600.0,1.8,132.8,0.19,1.04,15,3
604,역류성식도염원인,1340.0,8270.0,0.1,5.4,0.01,0.07,15,3
621,당근효능,1550.0,15300.0,2.3,145.0,0.16,1.01,15,3
623,메스꺼움,1320.0,7080.0,0.1,0.7,0.02,0.02,13,2
628,시금치,3730.0,29200.0,4.7,94.0,0.14,0.34,15,3
630,야채,3430.0,13700.0,3.8,10.0,0.12,0.08,15,3
646,구토,1350.0,6230.0,0.3,1.7,0.03,0.03,15,3
660,적채,1260.0,5560.0,0.8,1.8,0.07,0.04,15,3
677,트림,2940.0,13700.0,0.2,0.3,0.01,0.01,13,2
686,스무디,1650.0,6900.0,1.1,20.5,0.07,0.33,15,3
694,헬리코박터,1040.0,5400.0,1.3,66.5,0.13,1.33,15,3
696,헬리코박터균,6500.0,77900.0,6.1,919.3,0.1,1.27,15,3
708,식이섬유많은음식,1820.0,16300.0,1.1,89.8,0.07,0.59,15,3
711,채식,1650.0,2950.0,2.1,1.3,0.14,0.05,15,3
716,가수분해,3370.0,7760.0,0.7,0.3,0.03,0.01,13,2
719,아침식사,1950.0,26100.0,5.6,4.3,0.3,0.02,15,3
725,변,1060.0,4680.0,0.0,0.0,0.0,0.0,3,3
777,VEGAN,1290.0,4060.0,0.4,9.3,0.04,0.25,15,3
