,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,암막커튼,17700.0,120100.0,173.8,2004.5,1.04,1.76,15,3
1,커텐,6820.0,42900.0,99.5,958.7,1.55,2.38,15,3
3,방음커튼,1140.0,3900.0,13.7,90.5,1.28,2.53,15,3
40,거실커튼,4100.0,32000.0,70.9,818.1,1.82,2.69,15,3
90,거실커텐,1210.0,10800.0,32.1,391.4,2.78,3.85,15,3
190,방한커튼,4360.0,26300.0,36.1,381.8,0.87,1.53,15,3
227,창문커튼,1040.0,6790.0,8.1,70.3,0.82,1.09,15,3
289,테라스가림막,1010.0,6600.0,8.9,179.5,0.93,2.95,15,3
309,방풍커튼,1990.0,12100.0,11.9,180.1,0.63,1.56,15,3
335,선반,19900.0,133300.0,84.1,880.4,0.45,0.69,15,3
336,수납장,15100.0,74400.0,62.9,876.5,0.45,1.26,15,3
337,수납선반,2280.0,17100.0,13.8,184.0,0.65,1.13,15,3
338,철제선반,9360.0,98100.0,105.7,966.2,1.19,1.02,15,3
339,앵글선반,2680.0,10200.0,49.5,277.7,1.93,2.91,15,3
340,앵글,7040.0,16900.0,87.7,385.5,1.33,2.44,15,3
341,조립식선반,2250.0,16700.0,31.8,168.9,1.49,1.05,15,3
345,경량랙,2050.0,1610.0,50.8,58.4,2.6,3.93,15,3
346,앵글규격,1220.0,1210.0,12.7,41.8,1.09,3.68,15,3
353,수납,2890.0,7140.0,2.7,6.1,0.1,0.1,15,3
354,철제수납장,1950.0,18200.0,13.9,140.4,0.76,0.8,15,3
359,중량랙,1540.0,1750.0,45.5,55.0,3.11,3.28,15,3
371,베란다선반,1830.0,15100.0,15.4,228.2,0.9,1.61,15,3
391,3단선반,1580.0,7490.0,2.3,93.6,0.16,1.34,15,3
424,랙,2910.0,4550.0,18.9,48.7,0.69,1.16,15,3
432,거실선반,1390.0,9450.0,21.6,205.5,1.66,2.35,15,3
434,세탁기선반,1220.0,6650.0,9.7,83.4,0.83,1.36,15,3
470,주방선반,4440.0,21300.0,28.7,345.3,0.69,1.74,15,3
475,틈새수납장,5620.0,40000.0,30.9,714.1,0.58,1.91,15,3
492,조립식창고,3750.0,19300.0,43.7,504.7,1.23,2.81,15,3
563,선반장,1540.0,6090.0,9.9,100.5,0.7,1.79,15,3
598,베란다수납장,1170.0,8460.0,13.3,178.2,1.19,2.27,15,3
614,2단선반,1580.0,6700.0,4.7,57.0,0.32,0.92,15,3
621,세탁실선반,1050.0,6850.0,7.2,93.0,0.74,1.49,15,3
635,LACK,3290.0,10700.0,0.7,1.0,0.03,0.01,15,3
661,진열대,2310.0,5600.0,23.1,101.8,1.07,1.96,15,3
664,고릴라렉,1070.0,4500.0,5.3,53.8,0.52,1.24,15,3
667,캠핑선반,2550.0,14900.0,4.1,164.3,0.17,1.18,15,3
693,ANGLE,1890.0,4180.0,1.5,1.9,0.09,0.05,15,3
702,이동식선반,1320.0,5900.0,6.1,67.5,0.5,1.21,15,3
707,바치다,1590.0,5490.0,6.0,3.0,0.67,0.12,1,2
723,미니선반,1560.0,6820.0,4.1,52.9,0.28,0.84,15,3
727,RACK,3630.0,6100.0,5.7,9.9,0.17,0.18,15,3
780,받치다,2030.0,6070.0,0.0,2.6,0.0,0.05,1,2
834,스피드랙선반,1070.0,12600.0,8.7,105.0,0.87,0.86,15,3
850,철제캐비넷,1930.0,5340.0,30.0,79.7,1.65,1.58,15,3
853,파렛트랙,2010.0,1780.0,42.2,65.4,2.23,3.94,15,3
894,조립,1570.0,2270.0,2.5,1.5,0.18,0.07,15,3
905,무타공선반,1550.0,5580.0,1.3,43.3,0.09,0.83,15,3
922,철망,3700.0,9760.0,67.0,257.6,1.91,2.81,15,3
954,코너선반,1410.0,5920.0,6.6,54.3,0.5,0.99,15,3
955,벽선반,6930.0,31400.0,27.0,265.5,0.42,0.9,15,3
960,벽걸이선반,1980.0,8590.0,13.7,136.8,0.74,1.71,15,3
1098,화분선반,1610.0,11100.0,8.5,178.3,0.56,1.72,15,3
1102,거실장,7760.0,56100.0,90.7,1276.7,1.24,2.41,15,3
1107,틈새선반,1760.0,10100.0,5.4,67.4,0.33,0.71,15,3
1112,거실수납장,1420.0,12400.0,14.9,199.3,1.11,1.73,15,3
1113,거실책장,1060.0,6580.0,11.6,113.3,1.15,1.83,15,3
1117,나무선반,1400.0,5990.0,8.7,69.0,0.66,1.23,15,3
1140,러그,27400.0,115800.0,172.3,1392.5,0.67,1.27,15,3
1142,거실러그,5690.0,22800.0,50.3,411.3,0.94,1.93,15,3
1147,거실카페트,3160.0,21700.0,52.3,576.3,1.75,2.86,15,3
1148,단모러그,2530.0,5360.0,9.9,124.9,0.41,2.48,15,3
1153,원형러그,3990.0,16600.0,27.8,265.2,0.73,1.7,15,3
1185,카펫트,1440.0,7860.0,24.0,225.2,1.77,3.09,15,3
1208,사계절러그,1650.0,1480.0,0.3,11.1,0.03,0.78,15,3
1334,RUG,1090.0,4590.0,0.6,3.5,0.06,0.08,11,2
1495,일월온수매트,6290.0,62200.0,36.3,1010.7,0.62,1.75,15,3
1501,롤카페트,1150.0,3340.0,23.5,71.9,2.17,2.25,15,3
1525,자충매트,7130.0,39900.0,13.8,277.0,0.21,0.76,15,3
1526,주방발매트,1410.0,14000.0,16.4,367.2,1.21,2.77,15,3
1527,오리털이불,1440.0,9160.0,15.4,232.4,1.14,2.72,15,3
1532,타일카페트,4500.0,13300.0,16.4,156.3,0.39,1.24,15,3
1536,스마트플러그,3020.0,7450.0,3.4,65.6,0.12,0.94,15,3
1542,에어매트,7280.0,48200.0,8.5,261.3,0.13,0.58,15,3
1543,사이잘룩러그,2480.0,4980.0,9.3,117.7,0.39,2.59,15,3
1547,발판,4280.0,10000.0,5.7,37.2,0.15,0.4,15,3
1566,소파패드,1450.0,10900.0,15.7,143.5,1.14,1.41,15,3
1631,이케아러그,1200.0,7380.0,4.7,116.4,0.41,1.7,15,3
1645,작은창커튼,1100.0,10600.0,16.3,174.1,1.56,1.73,15,3
1653,가림막커튼,3270.0,20700.0,30.4,325.1,0.98,1.67,15,3
1656,암막천,1010.0,3470.0,8.1,71.7,0.85,2.2,15,3
1659,커텐봉,1220.0,6470.0,11.0,131.7,0.95,2.18,15,3
1660,이케아커튼,1060.0,7980.0,1.5,34.7,0.16,0.47,15,3
1673,전동블라인드,1510.0,3920.0,17.6,79.0,1.22,2.16,15,3
1686,버티컬,3740.0,10600.0,20.5,148.5,0.58,1.51,15,3
1699,쇼파패드,2560.0,25200.0,23.4,240.4,0.96,1.01,15,3
1700,쇼파커버,4400.0,38900.0,38.3,869.6,0.92,2.43,15,3
1702,캠핑이불,2420.0,14300.0,22.7,327.1,1.01,2.46,15,3
1724,극세사이불,11400.0,85500.0,162.2,2107.0,1.51,2.65,15,3
1733,메밀베개,1290.0,8370.0,6.5,133.5,0.53,1.72,15,3
1746,알레르망구스,1130.0,12000.0,5.6,37.8,0.53,0.34,15,3
1753,양털이불,1240.0,7170.0,14.3,219.1,1.2,3.25,15,3
1764,알레르망침구세트,2590.0,24500.0,28.3,476.4,1.17,2.11,15,3
1776,알레르망이불,1800.0,14200.0,14.1,246.6,0.84,1.89,15,3
1781,밍크담요,2130.0,15200.0,10.5,289.1,0.54,2.04,15,3
1786,쿠션,7520.0,44200.0,13.1,383.0,0.19,0.93,15,3
1796,소파커버,2700.0,17800.0,17.1,353.5,0.67,2.14,15,3
1799,양털담요,1410.0,7320.0,4.6,96.6,0.35,1.43,15,3
1830,행거,30600.0,179400.0,218.1,3315.0,0.76,1.95,15,3
1831,시스템행거,8570.0,55200.0,145.5,1666.5,1.79,3.21,15,3
1834,시스템옷장,1990.0,8760.0,36.9,315.0,1.93,3.84,15,3
1835,옷걸이행거,4580.0,24400.0,31.4,479.3,0.73,2.09,15,3
1836,2단행거,2090.0,12900.0,15.7,210.0,0.79,1.73,15,3
1839,벽행거,1280.0,7160.0,10.5,142.5,0.86,2.13,15,3
1840,시스템장,2350.0,8610.0,32.3,287.0,1.46,3.58,15,3
1841,철제행거,1200.0,5790.0,15.7,113.8,1.36,2.09,15,3
1845,드레스룸행거,1430.0,9210.0,28.5,268.9,2.08,3.11,15,3
1847,이동식행거,3360.0,17900.0,35.1,259.1,1.1,1.53,15,3
1848,붙박이장,9130.0,57700.0,134.2,1630.2,1.56,3.02,15,3
1849,옷걸이봉,2710.0,12700.0,10.3,203.8,0.41,1.72,15,3
1878,원목행거,1240.0,7920.0,9.1,104.0,0.76,1.4,15,3
1884,옷행거,1270.0,7040.0,9.0,163.3,0.75,2.48,15,3
1889,미니행거,1700.0,11500.0,9.1,106.8,0.56,0.99,15,3
1942,스탠드옷걸이,6100.0,35700.0,23.1,388.8,0.4,1.15,15,3
1982,이케아행거,2380.0,16800.0,18.9,195.4,0.85,1.24,15,3
1985,다이소행거,1530.0,11700.0,2.3,56.7,0.16,0.52,12,2
1994,스탠드행거,1560.0,7170.0,3.8,51.2,0.26,0.76,15,3
2007,벽옷걸이,1320.0,5510.0,7.4,71.4,0.59,1.37,15,3
2020,행거가리개,1270.0,6970.0,2.6,66.1,0.22,1.02,15,3
2110,벽걸이,1910.0,5040.0,3.0,24.7,0.17,0.53,15,3
2262,알파룸,1090.0,2750.0,0.3,0.7,0.04,0.03,3,3
2281,옷커버,1630.0,4030.0,5.1,37.9,0.36,1.02,15,3
2362,집기,2510.0,2470.0,0.9,0.3,0.04,0.02,15,3
2407,옷정리,1540.0,6950.0,5.7,94.3,0.39,1.47,15,3
2452,논슬립옷걸이,1820.0,18200.0,9.9,171.8,0.57,0.99,15,3
2465,원목옷걸이,1070.0,4760.0,9.9,87.1,0.97,1.95,15,3
2477,나무옷걸이,1020.0,5190.0,8.4,106.9,0.89,2.19,15,3
2486,이케아옷걸이,1080.0,7000.0,1.1,45.0,0.12,0.69,15,3
2487,다이소옷걸이,1360.0,7860.0,1.2,65.6,0.1,0.9,14,3
2494,바지걸이,4250.0,23700.0,16.8,358.3,0.42,1.61,15,3
2525,디퓨저,14100.0,42400.0,29.9,391.0,0.23,0.99,15,3
2528,실내디퓨저,1990.0,14600.0,6.9,107.7,0.37,0.77,15,3
2529,디퓨져,5750.0,31500.0,20.3,451.3,0.38,1.53,15,3
2530,차량용디퓨저,1870.0,7950.0,8.5,91.8,0.49,1.24,15,3
2531,바디로션,13200.0,87700.0,15.7,414.0,0.13,0.5,15,3
2536,차량용방향제,23400.0,137400.0,53.6,851.0,0.24,0.65,15,3
