,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,덴탈마스크,10300.0,143000.0,19.9,955.0,0.21,0.7,15,3
1,KF94마스크,10400.0,66900.0,43.1,1121.4,0.44,1.78,15,3
3,일회용마스크,4670.0,44100.0,10.9,476.4,0.25,1.14,15,3
5,소형마스크,1180.0,10600.0,2.2,168.2,0.2,1.66,15,3
7,면마스크,1510.0,8760.0,4.7,186.3,0.33,2.26,15,3
17,귀안아픈마스크,1110.0,7240.0,5.7,140.3,0.55,2.07,15,3
25,KF94,4060.0,9270.0,4.8,73.2,0.13,0.85,15,3
29,마스크추천,1630.0,10300.0,12.5,272.2,0.8,2.76,15,3
53,유한킴벌리덴탈마스크,1420.0,7500.0,1.7,77.3,0.13,1.09,15,3
82,할로윈마스크,2200.0,20500.0,13.2,335.0,0.65,1.76,15,3
95,새부리마스크,2930.0,16100.0,16.5,280.1,0.59,1.85,15,3
96,어린이마스크,1910.0,16100.0,7.7,308.2,0.43,2.02,15,3
114,방한마스크,1480.0,7130.0,5.3,92.9,0.38,1.35,15,3
116,자외선차단마스크,1260.0,6340.0,4.5,203.1,0.41,3.56,15,3
123,크리넥스마스크,2710.0,24300.0,5.2,210.8,0.21,0.92,15,3
126,유아마스크,1710.0,21300.0,5.9,218.5,0.37,1.08,15,3
133,방진마스크,5230.0,11300.0,5.6,89.5,0.12,0.84,15,3
141,빨아쓰는마스크,1800.0,8950.0,10.0,246.4,0.6,2.94,15,3
144,94마스크,1520.0,9080.0,7.7,206.2,0.53,2.38,15,3
180,자전거마스크,1640.0,4780.0,5.7,93.2,0.39,2.11,15,3
213,MASK,1140.0,3410.0,0.8,2.9,0.08,0.1,10,2
286,특대형마스크,1600.0,18600.0,13.9,222.8,0.93,1.24,15,3
335,컬러마스크,1240.0,8360.0,7.5,116.7,0.65,1.5,15,3
372,리사이클링,2150.0,3460.0,4.7,13.0,0.23,0.4,15,3
374,친환경제품,4120.0,9480.0,20.5,46.0,0.52,0.52,15,3
415,TS마스크,2570.0,25900.0,17.7,489.8,0.72,2.0,14,3
478,웰킵스마스크,1260.0,13900.0,3.7,122.3,0.32,0.93,15,3
495,투명마스크,2720.0,13900.0,6.1,204.5,0.24,1.54,15,3
515,코로나키트,3160.0,20200.0,4.7,175.5,0.16,0.91,15,3
521,스포츠마스크,1880.0,11800.0,6.3,146.3,0.37,1.28,15,3
582,KF94마스크새부리형,5130.0,31400.0,39.9,517.4,0.85,1.75,15,3
583,차량용핸드폰거치대,9290.0,78500.0,26.7,713.0,0.31,1.05,15,3
585,핸드폰거치대,10500.0,66500.0,14.5,679.8,0.15,1.1,15,3
586,차량핸드폰거치대,3590.0,30200.0,19.6,575.2,0.58,2.04,15,3
587,차량용휴대폰거치대,3510.0,16600.0,20.7,339.3,0.63,2.2,15,3
589,자동차핸드폰거치대,1210.0,6210.0,5.1,118.5,0.47,2.04,15,3
590,휴대폰거치대,6720.0,30500.0,7.7,297.0,0.13,1.04,15,3
592,차량용무선충전거치대,1660.0,7570.0,1.9,73.5,0.13,1.03,15,3
594,차량용거치대,4350.0,17300.0,12.3,199.6,0.3,1.23,15,3
596,차량용무선충전기,2510.0,11400.0,5.9,122.8,0.26,1.14,15,3
597,자석거치대,1210.0,5460.0,1.9,37.1,0.17,0.73,15,3
606,차량용태블릿거치대,1860.0,9710.0,10.7,67.8,0.62,0.74,15,3
607,차량용품,4880.0,19500.0,33.4,366.8,0.73,2.01,15,3
608,스마트폰거치대,3030.0,9990.0,2.9,78.5,0.11,0.86,15,3
611,차량거치대,1270.0,5420.0,2.7,54.9,0.23,1.1,15,3
615,고충,2650.0,5840.0,1.3,0.3,0.06,0.01,6,2
627,무선충전거치대,1970.0,6590.0,2.1,41.8,0.12,0.68,15,3
641,고속멀티충전기,1130.0,3550.0,1.3,37.6,0.13,1.15,15,3
646,삼성무선충전기,2470.0,9490.0,3.1,55.0,0.14,0.63,15,3
650,셀카봉삼각대,1560.0,11200.0,7.1,135.5,0.48,1.28,15,3
651,무선충전기,11200.0,36600.0,9.1,203.2,0.09,0.6,15,3
665,차량용충전기,4500.0,17600.0,3.6,123.8,0.09,0.75,15,3
673,무선충전,1280.0,3120.0,0.2,0.0,0.02,0.0,15,3
675,고속무선충전기,1970.0,5020.0,1.9,23.6,0.11,0.5,15,3
694,차량용핸드폰충전기,2470.0,1590.0,1.1,31.0,0.05,2.09,15,3
788,차량용고속충전기,2420.0,7360.0,2.1,68.8,0.1,0.99,15,3
817,무선충전패드,2460.0,6650.0,1.4,8.3,0.06,0.14,15,3
839,거치대,3910.0,8460.0,6.5,9.3,0.18,0.12,15,3
