,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,물티슈,25800.0,146000.0,26.5,380.3,0.11,0.28,15,3
1,아기물티슈,2040.0,14500.0,4.3,155.8,0.22,1.14,15,3
2,대용량물티슈,1500.0,9360.0,3.5,131.2,0.25,1.48,15,3
3,두루마리휴지,6350.0,31500.0,10.6,314.7,0.18,1.06,15,3
4,일회용물티슈,360.0,2000.0,2.9,30.0,0.86,1.6,15,3
5,스트레치필름,3040.0,3010.0,19.4,43.3,0.68,1.56,15,3
6,판촉물제작,990.0,440.0,35.3,22.2,3.71,5.39,15,3
7,업소용물티슈,710.0,3920.0,7.9,49.3,1.2,1.33,15,3
8,홍보용물티슈제작,50.0,120.0,3.2,3.7,5.82,3.53,15,3
9,유아물티슈,160.0,4200.0,0.8,5.1,0.56,0.14,15,3
10,화장지,7470.0,37400.0,18.0,321.0,0.26,0.92,15,3
11,신생아물티슈,620.0,3890.0,0.7,30.8,0.13,0.86,15,3
12,각티슈,6230.0,21500.0,12.9,111.7,0.22,0.56,15,3
13,물티슈제작,410.0,610.0,10.9,25.8,2.86,4.6,15,3
14,프리미엄물티슈,60.0,230.0,0.0,0.0,0.0,0.0,15,3
15,착한화장지,1340.0,6560.0,2.4,76.5,0.19,1.24,15,3
16,물티슈주문제작,20.0,40.0,0.7,0.3,3.67,0.95,15,3
17,아기물티슈추천,260.0,2620.0,0.3,33.6,0.11,1.37,15,3
18,3겹화장지,620.0,3790.0,3.3,59.3,0.56,1.67,15,3
19,휴지30롤,2020.0,15600.0,8.0,272.5,0.42,1.85,15,3
20,자동랩핑기,630.0,900.0,12.2,24.8,2.05,2.87,15,3
21,업소용물티슈제작,30.0,90.0,1.5,6.4,5.44,7.59,15,3
22,화장실휴지,660.0,1730.0,2.7,12.8,0.43,0.8,15,3
23,엠보싱물티슈,170.0,940.0,0.4,14.6,0.23,1.63,15,3
24,화장지30롤,1670.0,12900.0,9.3,292.6,0.6,2.4,15,3
25,물티슈추천,370.0,6050.0,0.1,5.2,0.04,0.1,15,3
26,친환경물티슈,400.0,1240.0,2.3,36.2,0.61,3.05,15,3
27,휴지,10900.0,45400.0,11.2,280.2,0.11,0.66,15,3
28,두루마리화장지,770.0,2120.0,3.1,31.0,0.42,1.57,15,3
29,판촉물물티슈,20.0,40.0,1.5,2.5,7.34,6.18,15,3
30,판촉물티슈,20.0,40.0,0.7,2.2,2.67,5.67,15,3
31,전도용물티슈,50.0,110.0,2.1,3.9,4.54,3.75,15,3
32,물티슈스티커,80.0,210.0,2.2,4.3,3.1,2.16,15,3
33,물티슈판촉물,70.0,80.0,2.2,6.3,3.34,8.88,15,3
34,도톰한물티슈,250.0,1350.0,0.4,13.2,0.16,1.04,15,3
35,손소독티슈,940.0,3240.0,2.2,20.5,0.25,0.68,15,3
36,홍보용물티슈,170.0,230.0,2.7,6.1,1.7,2.91,15,3
37,홍보물티슈,30.0,50.0,2.1,3.4,7.12,7.04,15,3
38,물티슈10매,50.0,250.0,0.7,5.1,1.39,2.18,15,3
39,물티슈공장,30.0,100.0,0.3,1.8,0.77,1.74,15,3
40,오공스트레치필름,410.0,300.0,2.7,8.5,0.68,2.97,15,3
41,포장용스트레치필름,140.0,9830.0,2.3,7.0,1.68,0.08,15,3
42,물티슈소량제작,20.0,40.0,0.4,4.0,2.23,8.52,15,3
43,손소독물티슈,250.0,1880.0,0.8,10.8,0.33,0.62,15,3
44,두꺼운물티슈,380.0,1780.0,0.3,18.8,0.08,1.12,15,3
45,소독용물티슈,140.0,430.0,0.1,5.2,0.1,1.32,15,3
46,크리넥스,3880.0,16300.0,3.7,54.8,0.1,0.36,15,3
47,천연물티슈,30.0,110.0,0.2,0.0,0.63,0.0,15,3
48,미니물티슈,130.0,990.0,0.1,9.9,0.11,1.07,15,3
49,점보롤휴지,1030.0,1380.0,7.0,25.1,0.72,1.92,15,3
50,물티슈20팩,810.0,5400.0,2.7,104.9,0.35,2.07,15,3
51,공업용랩,1530.0,3880.0,16.1,44.8,1.12,1.2,15,3
52,아기용물티슈,110.0,350.0,0.7,4.4,0.67,1.33,15,3
53,곽티슈,2480.0,6110.0,3.6,26.3,0.16,0.46,15,3
54,유아용물티슈,100.0,370.0,0.1,0.7,0.14,0.19,15,3
55,비데물티슈,950.0,6810.0,3.3,87.8,0.37,1.38,15,3
56,티슈,1250.0,4500.0,1.0,18.5,0.09,0.44,15,3
57,핸드타월,1710.0,2710.0,4.7,26.8,0.3,1.06,15,3
58,휴대용물티슈,410.0,4470.0,1.8,19.9,0.46,0.49,15,3
59,지갑티슈,20.0,30.0,0.7,0.6,3.04,2.13,15,3
60,물티슈판촉,20.0,30.0,0.4,1.3,2.0,4.22,15,3
61,물티슈인쇄,20.0,30.0,0.6,0.9,3.16,2.55,15,3
62,물티슈20매,70.0,340.0,0.6,3.4,0.87,1.04,15,3
63,1회용물티슈,90.0,380.0,0.9,10.8,1.02,3.11,15,3
64,화장지추천,400.0,2990.0,2.0,48.1,0.54,1.71,15,3
65,업소용휴지,280.0,1300.0,1.0,14.3,0.38,1.17,15,3
66,포장용랩,320.0,390.0,1.9,5.8,0.6,1.53,15,3
67,더마롤러,190.0,870.0,0.3,5.4,0.19,0.66,15,3
68,스트레치랩,230.0,160.0,1.6,2.8,0.72,1.89,15,3
69,물티슈100매,330.0,810.0,0.5,0.8,0.15,0.1,15,3
70,물티슈캡형,100.0,5730.0,0.0,0.3,0.0,0.01,15,3
71,신생아물티슈추천,100.0,770.0,0.1,5.7,0.15,0.82,15,3
72,물티슈제조,20.0,20.0,0.5,0.0,2.67,0.0,15,3
73,물티슈브랜드,60.0,140.0,0.0,0.0,0.0,0.0,3,3
74,고급물티슈,30.0,100.0,0.2,0.0,0.63,0.0,15,3
75,물티슈50매,20.0,60.0,0.1,0.5,0.26,0.79,15,3
76,물티슈업체,10.0,20.0,0.0,0.0,0.0,0.0,15,3
77,제균티슈,50.0,360.0,0.2,3.2,0.35,0.95,15,3
78,원형물티슈,10.0,20.0,0.0,0.0,0.0,0.0,3,3
79,베이비물티슈,50.0,330.0,0.4,2.1,0.84,0.66,15,3
80,어린이물티슈,20.0,90.0,0.2,0.3,0.91,0.32,15,3
81,안전한물티슈,90.0,260.0,0.1,8.0,0.14,3.24,15,3
82,출산준비물리스트,2900.0,12100.0,2.5,49.7,0.09,0.44,15,3
83,깨끗한물티슈,70.0,390.0,0.2,5.9,0.28,1.66,15,3
84,청소용물티슈,360.0,1660.0,1.8,26.9,0.53,1.75,15,3
85,애기물티슈,70.0,450.0,0.4,6.0,0.53,1.41,15,3
86,물티슈캡,90.0,490.0,0.3,0.0,0.3,0.0,15,3
87,항균티슈,60.0,250.0,0.7,2.2,1.13,0.96,15,3
88,손소독제티슈,10.0,80.0,0.0,0.3,0.0,0.33,15,3
89,물티슈30매,30.0,90.0,0.5,0.6,1.78,0.67,15,3
90,유기농물티슈,10.0,90.0,0.0,2.5,0.0,2.69,15,3
91,살균티슈,240.0,930.0,0.5,5.3,0.24,0.61,15,3
92,살균소독티슈,90.0,470.0,0.0,3.3,0.0,0.74,15,3
93,항균물티슈,70.0,380.0,0.5,3.1,0.69,0.86,15,3
94,판촉용물티슈,20.0,20.0,2.3,0.0,10.61,0.0,15,3
95,갑티슈,1540.0,3680.0,1.3,1.5,0.09,0.05,15,3
96,물티슈홍보,10.0,40.0,0.5,0.0,2.92,0.0,15,3
97,소독티슈,1380.0,5200.0,2.6,24.1,0.2,0.5,15,3
98,베이비베이비물티슈,70.0,390.0,0.1,0.0,0.19,0.0,15,3
99,미니티슈,180.0,730.0,0.3,0.0,0.16,0.0,15,3
100,물티슈10+10,120.0,1060.0,1.1,37.8,0.93,3.8,15,3
101,물티슈핫딜,90.0,880.0,0.6,20.0,0.64,2.42,10,2
102,손세정물티슈,10.0,70.0,0.1,0.6,0.67,0.89,15,3
103,물티슈100매20팩,190.0,680.0,0.5,3.5,0.3,0.55,15,3
104,물티슈80매,40.0,80.0,0.5,0.5,1.14,0.6,15,3
105,물티슈가격,30.0,120.0,0.3,5.5,0.99,4.63,15,3
106,살균소독물티슈,10.0,40.0,0.1,0.0,0.42,0.0,15,3
107,소독용티슈,60.0,80.0,0.1,0.0,0.11,0.0,15,3
108,고양이물티슈,160.0,820.0,0.3,11.6,0.22,1.47,15,3
109,대형물티슈,60.0,340.0,0.0,2.7,0.0,0.9,15,3
110,20매물티슈,10.0,50.0,0.1,0.8,1.34,1.57,15,3
111,종이물티슈,240.0,990.0,0.7,13.2,0.31,1.42,15,3
112,소독물티슈,490.0,2100.0,1.1,17.9,0.25,0.92,15,3
113,세정티슈,330.0,1090.0,0.3,8.1,0.09,0.81,15,3
114,저렴한물티슈,40.0,130.0,0.0,0.8,0.0,0.59,15,3
115,홍보용각티슈,20.0,60.0,0.9,0.0,4.57,0.0,15,3
116,소형물티슈,30.0,240.0,0.1,2.7,0.19,1.17,15,3
117,물티슈포장,10.0,60.0,0.0,0.0,0.0,0.0,15,3
118,휴대용물티슈10매,10.0,110.0,0.1,1.0,0.4,0.94,15,3
119,향균물티슈,60.0,320.0,0.5,0.6,0.89,0.22,15,3
120,휴대용손소독티슈,20.0,90.0,0.0,0.0,0.0,0.0,14,3
121,물휴지,170.0,770.0,0.3,14.0,0.21,1.95,15,3
122,손세정티슈,30.0,210.0,0.1,0.6,0.2,0.34,15,3
123,물티슈광고,20.0,60.0,1.3,2.0,5.34,3.73,15,3
124,물티슈도매,20.0,30.0,0.5,2.0,2.54,7.15,15,3
125,식당티슈,40.0,110.0,0.2,1.0,0.48,0.9,15,3
126,전도물티슈,20.0,30.0,0.0,0.8,0.0,2.59,15,3
127,물티슈특가,30.0,180.0,0.1,0.3,0.2,0.16,15,3
128,자연처럼물티슈,10.0,30.0,0.0,0.0,0.0,0.0,3,3
129,물티슈제조사,10.0,20.0,0.0,0.0,0.0,0.0,15,3
130,캡형물티슈,90.0,5760.0,0.1,0.0,0.15,0.0,15,3
131,물티슈스티커제작,20.0,30.0,0.9,0.6,4.92,1.79,15,3
132,살균물티슈,90.0,360.0,0.3,2.7,0.38,0.79,15,3
133,홍보용티슈,10.0,20.0,0.4,1.3,3.08,5.72,15,3
134,휴지제작,20.0,60.0,0.6,3.8,3.0,5.92,15,3
135,강아지물티슈,750.0,4290.0,4.9,67.0,0.69,1.63,15,3
136,물티슈디자인,20.0,20.0,0.9,0.0,4.34,0.0,15,3
137,물티슈OEM,20.0,30.0,0.5,0.8,2.04,2.03,15,3
138,각티슈제작,30.0,110.0,1.3,7.3,3.93,6.48,15,3
139,물티슈시안,10.0,10.0,0.1,0.0,1.12,0.0,15,3
140,업소용일회용물티슈,10.0,80.0,0.0,0.3,0.0,0.43,15,3
141,업소용물수건,50.0,410.0,0.7,14.3,1.22,3.73,15,3
142,식당물수건,10.0,140.0,0.1,2.6,0.42,1.94,15,3
143,에탄올티슈,50.0,220.0,0.3,3.8,0.6,1.83,15,3
144,녹색나라물티슈,20.0,20.0,0.2,0.3,1.15,1.45,15,3
145,병원물티슈,10.0,50.0,0.1,0.6,1.49,1.38,15,3
146,물티슈70매,50.0,100.0,0.1,0.3,0.28,0.31,15,3
147,물에녹는물티슈,150.0,1020.0,0.7,19.5,0.5,2.03,15,3
148,물티슈배포,10.0,20.0,1.2,1.2,8.58,5.34,15,3
149,각휴지,210.0,550.0,0.7,3.6,0.33,0.69,15,3
150,크리넥스물티슈,490.0,2880.0,0.1,15.9,0.03,0.58,15,3
151,알콜물티슈,170.0,660.0,0.7,10.8,0.46,1.7,15,3
152,미니각티슈,930.0,3670.0,1.8,30.3,0.21,0.88,15,3
153,멸균물티슈,10.0,50.0,0.1,0.5,0.75,0.99,15,3
154,물티슈제조업체,10.0,20.0,0.0,0.0,0.0,0.0,14,3
