,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,학지사,3740.0,2420.0,2.0,1.3,0.06,0.06,10,2
1,학지사인싸이트,5660.0,1720.0,139.0,46.0,2.62,5.94,1,1
2,문장이술술,280.0,1980.0,3.8,36.0,1.43,1.91,11,2
3,일본원서,80.0,300.0,0.9,6.4,1.2,2.25,13,2
4,티츄,1320.0,3700.0,2.8,21.7,0.24,0.64,11,2
5,맨큐의경제학답지,40.0,130.0,0.8,1.5,1.99,1.31,2,1
6,블리츠,18500.0,7560.0,2.8,23.9,0.02,0.35,15,3
7,마이어스의심리학개론,100.0,250.0,0.1,1.5,0.14,0.65,8,2
8,카르카손,510.0,1790.0,0.5,0.3,0.1,0.03,15,3
9,허니컴보드,570.0,420.0,4.4,3.6,0.81,0.9,12,2
10,의학용어,8810.0,17900.0,2.0,5.0,0.03,0.04,12,2
11,카멜업,260.0,740.0,0.9,0.0,0.39,0.0,10,2
12,간호학과교재,10.0,30.0,0.0,0.0,0.0,0.0,3,3
13,스토리카드,40.0,70.0,0.4,0.0,0.79,0.0,9,2
14,현대이상심리학,110.0,170.0,0.1,0.0,0.11,0.0,9,2
15,우리말카드,70.0,180.0,0.8,0.0,1.18,0.0,12,2
16,현대심리치료와상담이론,260.0,440.0,0.6,1.5,0.27,0.35,8,2
17,대학교전공책,10.0,20.0,0.0,0.0,0.0,0.0,3,3
18,두산출판사,10.0,20.0,0.0,0.0,0.0,0.0,2,2
19,루빅스큐브,560.0,3840.0,1.1,26.7,0.21,0.75,15,3
20,간호과정실무지침,110.0,250.0,0.0,0.7,0.0,0.27,3,1
21,공감대화카드,160.0,450.0,1.0,14.8,0.65,3.37,15,3
22,가정용당구대,230.0,1460.0,3.2,31.0,1.45,2.31,15,3
23,일본잡지,390.0,1560.0,9.1,75.7,2.45,5.15,15,3
24,강점찾기,180.0,250.0,0.3,0.0,0.16,0.0,15,3
