,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,화환,17900.0,58000.0,342.8,1863.0,2.04,3.43,15,3
1,근조화환,13100.0,42000.0,237.0,1716.0,1.89,4.31,15,3
2,축하화환,5470.0,25900.0,120.8,1134.3,2.36,4.7,15,3
3,개업화환,3520.0,11800.0,54.4,577.2,1.61,5.22,15,3
4,결혼식화환,3490.0,10400.0,68.2,375.8,2.13,4.0,15,3
5,화한,2130.0,6290.0,25.7,186.0,1.28,3.17,15,3
6,결혼화환,1250.0,3050.0,28.3,151.4,2.48,5.56,15,3
7,장례화환,1430.0,9820.0,41.4,540.6,3.08,5.9,15,3
8,화환배달,260.0,560.0,9.1,38.9,3.62,7.76,15,3
9,꽃배달싼곳,450.0,2150.0,24.1,193.4,5.76,9.89,15,3
10,화환꽃배달,20.0,20.0,0.1,3.5,0.67,19.45,15,3
11,화환선물,20.0,60.0,0.3,2.4,1.67,3.95,15,3
12,하환,50.0,160.0,0.5,9.4,0.94,5.89,15,3
13,화환배송,20.0,60.0,0.5,4.7,2.34,8.27,15,3
14,화환당일배송,40.0,350.0,2.3,43.4,5.53,13.25,15,3
15,경조사화한,10.0,10.0,0.1,0.0,1.34,0.0,15,3
16,꽃화환,480.0,3620.0,14.5,177.6,3.24,5.3,15,3
17,전국화환,140.0,560.0,7.6,55.4,5.76,10.68,15,3
18,화완,30.0,190.0,0.3,7.9,0.96,4.58,15,3
19,36000,30.0,40.0,0.0,0.3,0.0,0.86,3,3
20,경조화환,410.0,500.0,5.5,21.0,1.41,4.54,15,3
21,화환추천,20.0,30.0,0.3,0.6,1.67,1.99,15,3
22,팔순잔치화환,20.0,40.0,0.2,0.6,1.25,1.54,15,3
23,행사화환,10.0,10.0,0.3,0.3,1.49,1.62,15,3
24,화환꽃,10.0,60.0,0.0,1.9,0.0,2.92,15,3
25,화환제작,10.0,70.0,0.3,0.3,1.91,0.49,15,3
26,축화환,200.0,410.0,2.5,18.3,1.41,5.02,15,3
27,경조사화환,100.0,110.0,1.7,6.8,1.7,6.3,15,3
28,축하화환배달,10.0,40.0,0.3,2.8,2.06,6.4,15,3
29,예식장화환,20.0,80.0,0.4,6.6,1.91,8.52,15,3
30,화환금액,10.0,40.0,0.1,0.6,1.12,1.44,15,3
31,결혼축하화환,370.0,650.0,8.0,30.2,2.47,5.43,15,3
32,예식화환,10.0,10.0,0.1,1.3,1.91,8.89,15,3
33,화환주문,140.0,360.0,5.2,27.0,4.04,8.06,15,3
34,축하화한,230.0,250.0,5.6,13.9,2.5,5.75,15,3
35,개업식화환,140.0,500.0,2.3,25.4,1.75,5.25,15,3
