,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,샴푸,14300.0,112300.0,42.6,521.4,0.32,0.51,15,3
1,유아입욕제,160.0,800.0,0.3,4.4,0.18,0.58,15,3
2,아기거품목욕,110.0,1050.0,0.3,12.8,0.3,1.3,15,3
3,탈모샴푸,10900.0,74000.0,35.5,531.5,0.35,0.77,15,3
4,약산성샴푸,1820.0,37200.0,5.2,118.3,0.31,0.39,15,3
5,아기샴푸,460.0,3310.0,1.9,17.0,0.42,0.56,15,3
6,거품목욕,220.0,1550.0,0.4,13.6,0.2,0.94,15,3
7,천연샴푸,910.0,8170.0,3.1,64.8,0.37,0.84,15,3
8,아기입욕제,160.0,2180.0,0.3,9.3,0.22,0.45,15,3
9,유아거품목욕,40.0,710.0,0.3,9.5,0.73,1.41,15,3
10,버블바스,160.0,1080.0,1.0,9.0,0.63,0.9,15,3
11,아기로션,1890.0,11600.0,2.7,27.6,0.15,0.25,15,3
12,아기바디워시,640.0,5970.0,0.8,28.0,0.14,0.5,15,3
13,유아바디워시,520.0,3980.0,0.6,4.2,0.12,0.11,15,3
14,유기농샴푸,170.0,1390.0,1.5,13.3,0.92,1.0,15,3
15,두피샴푸,1200.0,10600.0,3.2,41.0,0.28,0.41,15,3
16,머리비듬없애는법,20.0,250.0,0.1,6.0,0.32,2.4,15,3
17,어린이입욕제,30.0,380.0,0.6,6.8,1.67,1.86,15,3
18,유아버블바스,10.0,70.0,0.0,0.3,0.0,0.36,15,3
19,유아거품입욕제,20.0,150.0,0.0,2.3,0.0,1.6,15,3
20,산성샴푸,520.0,6840.0,1.9,61.8,0.39,0.96,15,3
21,샴푸추천,3940.0,32300.0,9.9,280.3,0.27,0.93,15,3
22,지루성두피염샴푸,2210.0,14400.0,12.2,314.0,0.58,2.34,15,3
23,단백질샴푸,860.0,7190.0,5.0,124.3,0.6,1.85,15,3
24,임산부샴푸,980.0,7380.0,2.5,128.0,0.27,1.84,15,3
25,미용실샴푸추천,420.0,3450.0,1.8,47.6,0.45,1.48,15,3
26,아미노산계샴푸,10.0,80.0,0.3,2.3,2.23,2.78,15,3
27,미용실샴푸,1780.0,15800.0,5.0,205.5,0.3,1.39,15,3
28,무실리콘샴푸,220.0,1430.0,0.3,16.3,0.16,1.2,15,3
29,바디워시,8890.0,79200.0,15.9,297.0,0.19,0.4,15,3
30,지성샴푸,1560.0,10100.0,3.4,86.8,0.23,0.91,15,3
31,계면활성제없는샴푸,180.0,1270.0,1.0,21.4,0.59,1.76,15,3
32,샴푸브랜드,220.0,690.0,1.4,0.9,0.65,0.14,15,3
33,발모샴푸,80.0,380.0,0.9,12.3,1.16,3.41,15,3
34,올솔,30.0,110.0,0.3,2.8,1.2,2.46,15,3
35,아기크림,850.0,8160.0,0.9,1.9,0.12,0.03,15,3
36,유아화장품,190.0,1150.0,0.9,2.2,0.48,0.21,15,3
37,헤어트리트먼트,2440.0,19100.0,9.9,102.3,0.43,0.57,15,3
38,올인원샴푸,290.0,1460.0,0.7,7.9,0.25,0.58,15,3
39,민감성샴푸,100.0,500.0,0.1,5.7,0.14,1.26,15,3
40,자연샴푸,10.0,120.0,0.1,4.0,0.45,3.2,15,3
41,사춘기샴푸,340.0,5500.0,1.5,79.0,0.45,1.52,15,3
42,피부,2310.0,7320.0,1.8,3.5,0.09,0.06,15,3
43,약산성,780.0,2650.0,0.5,0.3,0.07,0.02,15,3
44,자연유래샴푸,30.0,120.0,0.2,3.8,0.58,3.1,15,3
45,저자극샴푸,250.0,2380.0,0.5,0.7,0.23,0.03,15,3
46,지루성두피샴푸,700.0,5130.0,3.1,94.3,0.47,1.96,15,3
47,지루성샴푸,220.0,1210.0,1.3,27.4,0.6,2.36,15,3
48,천연계면활성제샴푸,70.0,530.0,0.3,9.3,0.4,1.89,15,3
49,천연샴푸추천,100.0,960.0,0.8,19.7,0.87,2.12,15,3
50,콜라겐샴푸,90.0,410.0,1.1,12.3,1.13,3.15,15,3
