,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,가습기,101300.0,467100.0,284.5,3834.0,0.3,0.86,15,3
1,가열식가습기,34000.0,172000.0,151.3,2034.4,0.46,1.23,15,3
2,천연가습기,4780.0,31400.0,19.9,810.2,0.44,2.67,15,3
3,천연가습제,180.0,1720.0,1.1,46.3,0.63,2.69,15,3
4,제올라이트,2350.0,6070.0,10.5,105.3,0.48,1.85,15,3
5,가습기추천,8470.0,53100.0,42.2,1036.0,0.52,2.04,15,3
6,무드등가습기,920.0,2220.0,1.7,17.4,0.19,0.82,15,3
7,가습기가격,40.0,230.0,0.9,15.3,2.18,6.91,15,3
8,대용량가습기,13200.0,97700.0,39.3,447.1,0.31,0.47,15,3
9,가습제,110.0,610.0,0.4,4.6,0.41,0.76,15,3
10,자연가습기,1000.0,4510.0,6.1,24.7,0.64,0.57,15,3
11,스텐가열식가습기,870.0,6020.0,5.1,36.0,0.62,0.63,15,3
12,가습기브랜드,280.0,670.0,0.8,0.7,0.3,0.11,15,3
13,도마살균기,270.0,1330.0,1.7,9.1,0.66,0.75,15,3
14,미니가습기,22700.0,92500.0,47.6,866.9,0.22,0.97,15,3
15,숯가습기,300.0,1530.0,0.5,2.9,0.16,0.2,15,3
16,가습기무드등,160.0,560.0,0.3,6.0,0.17,1.11,15,3
17,가열식가습기추천,2440.0,15900.0,12.5,235.4,0.54,1.54,15,3
18,화산가습기,300.0,1440.0,1.8,31.3,0.62,2.22,15,3
19,기화식가습기,5740.0,27200.0,12.2,270.3,0.23,1.04,15,3
20,천연가습기추천,20.0,60.0,0.3,1.0,1.16,1.56,15,3
21,필터없는가습기,660.0,1720.0,2.9,11.8,0.45,0.71,15,3
22,가습기렌탈,420.0,1240.0,6.3,53.2,1.53,4.44,15,3
23,원룸가습기,700.0,2150.0,1.3,1.3,0.19,0.07,15,3
24,제올라이트가습기,40.0,110.0,0.3,1.6,0.69,1.5,15,3
25,스텐가습기,2420.0,17800.0,19.1,342.3,0.83,2.01,15,3
26,천연가습,300.0,1970.0,1.7,17.2,0.58,0.9,15,3
27,무소음가습기,1100.0,8960.0,4.4,40.5,0.42,0.46,15,3
28,자연가습,190.0,810.0,0.8,13.6,0.43,1.72,15,3
29,복합식가습기,2500.0,17700.0,5.9,231.0,0.25,1.35,15,3
30,수저살균기,240.0,2080.0,0.9,39.9,0.42,2.04,15,3
31,사무용가습기,470.0,340.0,1.6,0.5,0.35,0.15,15,3
32,소형가습기,1520.0,4870.0,5.7,104.7,0.39,2.24,15,3
33,홈쇼핑가습기,30.0,220.0,0.7,4.5,1.86,2.1,15,3
34,자연기화식가습기,3520.0,18600.0,13.1,233.1,0.39,1.32,15,3
35,친환경가습기,220.0,600.0,0.7,0.3,0.32,0.06,15,3
36,미니가습기추천,930.0,5320.0,3.8,34.6,0.42,0.67,15,3
37,신생아가습기,2810.0,16300.0,4.1,132.1,0.16,0.86,15,3
38,천연제습제,80.0,1940.0,0.4,9.8,0.52,0.51,15,3
39,가정용가습기,670.0,1550.0,4.6,35.0,0.7,2.3,15,3
40,천연가습기만들기,330.0,1770.0,0.7,17.1,0.21,1.01,15,3
41,사무실가습기,9730.0,11400.0,10.1,56.1,0.11,0.51,15,3
42,아기가습기,1640.0,18500.0,4.1,84.4,0.27,0.47,15,3
43,탁상용가습기,2410.0,3680.0,2.3,18.8,0.1,0.53,15,3
44,스테인레스가습기,830.0,3560.0,4.7,70.3,0.59,2.07,15,3
45,청소쉬운가습기,480.0,1470.0,0.9,15.5,0.2,1.1,15,3
46,신생아가습기추천,530.0,3190.0,1.0,32.7,0.2,1.08,15,3
47,통세척가습기,1960.0,9490.0,3.8,53.4,0.2,0.59,15,3
48,세척편한가습기,1030.0,4410.0,3.7,81.9,0.38,1.94,15,3
49,가습기종류,1190.0,4080.0,1.0,1.0,0.09,0.03,14,3
50,간편세척가습기,310.0,2070.0,0.5,18.5,0.18,0.93,15,3
