,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,잠옷,16000.0,127200.0,268.1,2951.4,1.78,2.5,15,3
1,커플잠옷,6410.0,57100.0,166.0,2431.6,2.74,4.49,15,3
2,홈웨어,3640.0,22400.0,67.3,484.8,1.96,2.34,15,3
3,잠옷브랜드,1260.0,6010.0,24.9,203.7,2.07,3.59,15,3
4,여름잠옷,210.0,2230.0,1.9,34.3,0.98,1.63,15,3
5,면잠옷,740.0,7270.0,9.4,158.0,1.34,2.35,15,3
6,모달잠옷,520.0,5250.0,7.4,141.1,1.49,2.91,15,3
7,유니클로잠옷,700.0,6200.0,5.7,86.7,0.85,1.51,15,3
8,여성실내복,690.0,7430.0,11.8,204.5,1.83,2.96,15,3
9,파자마브랜드,550.0,2800.0,7.7,75.7,1.45,2.93,15,3
10,수면잠옷,7910.0,74300.0,42.4,1237.0,0.57,1.77,15,3
11,실내복,1190.0,8590.0,11.5,120.7,1.04,1.51,15,3
12,라운지웨어,790.0,4800.0,6.3,82.1,0.84,1.86,15,3
13,면파자마,490.0,4400.0,9.3,82.2,2.02,2.07,15,3
14,반팔잠옷,110.0,1270.0,0.7,17.5,0.63,1.49,15,3
15,홈웨어세트,290.0,3700.0,7.3,61.0,2.61,1.75,15,3
16,홈웨어원피스,700.0,8020.0,13.0,132.4,2.0,1.78,15,3
17,남자잠옷,2530.0,15800.0,29.6,417.3,1.25,2.8,15,3
18,잠옷원단,50.0,360.0,1.5,20.0,3.13,5.87,15,3
19,가족파자마,90.0,1030.0,1.6,45.2,1.78,4.62,15,3
20,여성잠옷,2060.0,16900.0,36.9,505.3,1.92,3.24,15,3
21,내복,4690.0,25100.0,18.3,260.6,0.41,1.1,15,3
22,홈웨어브랜드,170.0,540.0,5.7,19.8,3.52,3.89,15,3
23,파자마세트,560.0,4240.0,5.6,53.5,1.05,1.42,15,3
24,유니클로파자마,320.0,2160.0,2.2,36.4,0.71,1.82,12,2
25,체크잠옷,430.0,4830.0,3.4,85.0,0.85,1.91,15,3
26,커플잠옷브랜드,310.0,2510.0,10.6,103.3,3.65,4.39,15,3
27,잠옷바지,1690.0,14900.0,12.3,98.5,0.78,0.71,15,3
28,패밀리잠옷,120.0,1970.0,6.1,86.7,5.03,4.72,15,3
29,잠옷세트,810.0,7630.0,10.2,157.2,1.33,2.25,15,3
30,여자홈웨어,110.0,1110.0,2.3,17.2,2.15,1.7,15,3
31,유니클로홈웨어,240.0,1920.0,2.0,27.7,0.85,1.51,11,2
32,남성홈웨어,370.0,2220.0,4.7,53.9,1.33,2.62,15,3
33,파자마추천,90.0,430.0,1.1,3.6,1.26,0.88,15,3
34,반팔파자마,20.0,350.0,0.7,6.3,3.18,1.9,15,3
35,남자홈웨어,420.0,2580.0,4.9,51.6,1.19,2.15,15,3
36,잠옷원피스,590.0,7550.0,8.3,216.8,1.46,3.07,15,3
37,잠옷추천,290.0,1390.0,1.5,30.1,0.54,2.32,15,3
38,커플파자마,780.0,5440.0,22.4,243.0,2.98,4.76,15,3
39,남자파자마,820.0,4630.0,10.0,93.1,1.28,2.19,15,3
40,홈웨어바지,280.0,2540.0,5.3,43.3,2.05,1.83,15,3
41,여름파자마,40.0,240.0,0.7,2.0,1.84,0.87,15,3
42,모달파자마,100.0,910.0,1.3,24.4,1.37,2.91,15,3
