,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,실내화,9060.0,54700.0,36.8,304.0,0.43,0.6,15,3
1,장갑,11300.0,57400.0,21.6,203.0,0.2,0.37,15,3
2,거실실내화,2200.0,15700.0,26.9,180.7,1.3,1.23,15,3
3,실내슬리퍼,4570.0,24100.0,20.1,192.3,0.47,0.86,15,3
4,털실내화,14200.0,55300.0,55.1,138.6,0.4,0.27,15,3
5,사무실슬리퍼,7980.0,23000.0,38.2,236.3,0.5,1.1,15,3
6,실내슬리퍼제작,20.0,30.0,1.1,2.7,6.4,8.92,10,2
7,명품신발,1260.0,11000.0,10.3,190.9,0.88,1.87,15,3
8,핫팩,46400.0,250400.0,96.4,1627.1,0.22,0.69,15,3
9,남자명품신발,700.0,4600.0,4.9,48.4,0.76,1.14,15,3
10,거실화,2440.0,15600.0,20.6,153.8,0.89,1.06,15,3
11,겨울슬리퍼,10000.0,67600.0,46.1,494.7,0.48,0.77,15,3
12,슬리퍼,19900.0,99700.0,72.1,818.3,0.39,0.88,15,3
13,털슬리퍼,23200.0,142600.0,102.5,330.7,0.46,0.25,15,3
14,사무실실내화,1550.0,11000.0,12.1,42.3,0.82,0.39,15,3
15,명품스니커즈,900.0,6920.0,7.1,74.4,0.85,1.16,15,3
16,뜨개질,5700.0,32900.0,61.3,846.0,1.13,2.71,15,3
17,귀마개,9690.0,57800.0,10.3,380.8,0.12,0.69,15,3
18,거실슬리퍼,1300.0,8700.0,12.1,77.8,0.98,0.96,15,3
19,방석,9870.0,48700.0,47.1,446.7,0.51,0.97,15,3
20,남자명품스니커즈,610.0,3760.0,4.8,40.3,0.83,1.15,15,3
21,명품운동화,860.0,8570.0,5.6,93.3,0.69,1.18,15,3
22,겨울실내화,4900.0,28300.0,24.1,92.6,0.52,0.34,15,3
23,신발,12700.0,78600.0,66.3,586.9,0.56,0.81,15,3
24,남자명품구두,450.0,2270.0,4.2,40.3,0.99,1.92,15,3
25,장갑인쇄,30.0,40.0,1.2,2.7,4.0,6.48,15,3
26,무릎담요,10000.0,41300.0,45.6,423.3,0.48,1.09,15,3
27,호텔납품,40.0,50.0,0.6,0.3,1.5,0.67,15,3
28,남자명품운동화,390.0,2590.0,3.1,40.5,0.83,1.69,15,3
29,실내화제작,60.0,110.0,3.9,7.3,6.79,7.33,15,3
30,명품슬리퍼,270.0,1990.0,0.5,14.7,0.19,0.8,15,3
31,방한모자,2680.0,12000.0,12.8,95.9,0.49,0.83,15,3
32,명품구두,610.0,5270.0,5.8,80.8,1.01,1.68,15,3
33,벙어리장갑,2430.0,12600.0,8.3,22.5,0.36,0.19,15,3
34,실내용슬리퍼,680.0,2670.0,4.2,34.8,0.66,1.42,15,3
35,손난로,13100.0,43800.0,26.3,255.8,0.21,0.61,15,3
36,고급실내화,80.0,300.0,1.9,11.0,2.4,3.92,15,3
37,덧신,3160.0,14700.0,7.4,98.3,0.26,0.72,15,3
38,여자명품운동화,270.0,3340.0,3.3,58.4,1.22,1.89,15,3
39,담요,12700.0,74000.0,31.9,446.6,0.27,0.64,15,3
40,겨울실내슬리퍼,1220.0,4880.0,8.4,54.5,0.71,1.17,15,3
41,여자명품신발,220.0,1650.0,1.9,18.6,0.88,1.19,15,3
42,면슬리퍼,180.0,1660.0,1.3,36.8,0.8,2.39,15,3
43,남자털슬리퍼,930.0,6330.0,3.2,2.3,0.36,0.04,15,3
44,바디필로우,6960.0,52900.0,35.9,693.6,0.55,1.4,15,3
45,보온병,6080.0,41300.0,15.3,284.5,0.27,0.73,15,3
46,여성명품신발,80.0,930.0,1.2,19.3,1.63,2.24,15,3
47,여자명품샌들,10.0,90.0,0.3,1.8,2.06,2.25,15,3
48,명품샌들,40.0,240.0,0.4,1.1,1.22,0.52,15,3
49,수면양말,9410.0,58100.0,36.1,894.2,0.41,1.63,15,3
50,찜질팩,4510.0,32100.0,21.5,584.1,0.51,1.93,15,3
51,여자명품구두,160.0,1660.0,1.7,32.5,1.15,2.17,15,3
52,여성슬리퍼,680.0,4790.0,5.0,36.8,0.8,0.83,15,3
53,예쁜사무실슬리퍼,230.0,570.0,2.7,8.8,1.21,1.67,15,3
54,명품여성구두,160.0,1430.0,3.5,40.7,2.43,3.08,15,3
55,붙이는핫팩,4180.0,23900.0,6.7,326.3,0.17,1.42,15,3
56,여자명품스니커즈,200.0,2130.0,0.7,25.9,0.37,1.32,15,3
57,장갑제작,120.0,250.0,3.1,6.9,2.54,2.91,15,3
58,유아양말,1260.0,14800.0,6.3,76.8,0.53,0.55,15,3
59,동물모자,200.0,1190.0,0.3,0.3,0.15,0.03,15,3
60,눈썰매,1320.0,5650.0,1.3,25.4,0.11,0.47,15,3
61,남자신발,4780.0,22000.0,31.0,232.3,0.69,1.13,15,3
62,여성사무실슬리퍼,670.0,1860.0,6.5,21.7,1.02,1.25,15,3
63,웨지힐,520.0,3400.0,2.5,18.4,0.51,0.6,15,3
64,모델하우스실내화,10.0,30.0,0.1,0.0,0.89,0.0,15,3
65,명품여성로퍼,160.0,1820.0,1.7,33.3,1.12,1.96,15,3
66,극세사담요,4060.0,24800.0,9.2,158.8,0.25,0.69,15,3
67,명품로퍼,420.0,3500.0,1.7,40.7,0.42,1.26,15,3
68,남자드라이빙슈즈,450.0,2420.0,1.9,18.1,0.45,0.8,15,3
