,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,오메가3,37900.0,264500.0,129.3,2429.3,0.37,0.97,15,3
1,초임계알티지오메가3,3870.0,27600.0,18.4,422.0,0.52,1.62,15,3
2,식물성알티지오메가3,2160.0,21400.0,18.8,487.6,0.92,2.37,15,3
3,알티지오메가3,6900.0,64400.0,21.3,926.8,0.33,1.54,15,3
4,오메가3효능,5170.0,38600.0,7.9,490.0,0.17,1.37,15,3
5,오메가3추천,3170.0,18800.0,22.2,479.2,0.75,2.72,15,3
6,RTG오메가3,3570.0,23400.0,13.5,375.4,0.41,1.7,15,3
7,초임계RTG오메가3,250.0,1620.0,2.4,20.9,0.99,1.35,15,3
8,알티지오메가3추천,1680.0,6590.0,6.2,215.4,0.41,3.5,15,3
9,식물성오메가3추천,200.0,1350.0,2.3,34.7,1.18,2.64,15,3
10,오메가3EPA,90.0,380.0,0.3,3.1,0.28,0.86,15,3
11,알티지오메가3효능,350.0,3870.0,1.5,115.0,0.45,3.16,15,3
12,식물성오메가,180.0,450.0,0.9,4.1,0.49,0.96,15,3
13,초임계오메가3,1170.0,3800.0,0.5,29.8,0.06,0.82,15,3
14,오메가3비타민C,100.0,480.0,0.0,0.0,0.0,0.0,3,3
15,오메가3먹는법,80.0,870.0,0.2,7.5,0.25,0.94,15,3
16,오메가3복용시간,860.0,7310.0,0.1,25.3,0.02,0.38,15,3
17,RTG오메가3효능,190.0,1560.0,1.4,43.1,0.77,2.94,15,3
18,오메가3비타민E,80.0,250.0,0.2,1.9,0.23,0.81,15,3
19,오메가3피쉬오일,170.0,750.0,0.1,7.6,0.05,1.07,15,3
20,오메가3권장량,250.0,880.0,0.0,0.0,0.0,0.0,13,2
21,트리어드코어,140.0,520.0,0.3,2.9,0.26,0.58,3,3
22,오메가3콜레스테롤,350.0,1800.0,0.6,22.5,0.18,1.35,15,3
23,유기농오메가3,10.0,30.0,0.3,0.0,2.78,0.0,3,3
24,트리플오메가3,30.0,210.0,0.1,1.0,0.21,0.51,15,3
25,비타민하우스오메가3,50.0,360.0,0.0,2.6,0.0,0.78,9,2
26,오메가3트리플,150.0,910.0,0.0,9.8,0.0,1.13,15,3
27,식물성오메가3,2130.0,13100.0,15.3,163.6,0.77,1.33,15,3
28,오메가3성분,100.0,570.0,0.0,10.3,0.0,1.93,15,3
29,식물성스테롤,70.0,150.0,0.0,0.0,0.0,0.0,3,3
30,오메가식물성,10.0,80.0,0.0,0.0,0.0,0.0,3,3
31,식물성,410.0,920.0,0.0,0.3,0.0,0.04,15,3
32,FISHOIL,90.0,480.0,0.7,9.8,0.83,2.22,15,3
33,오메가3의효능,30.0,140.0,0.1,5.3,0.2,3.78,15,3
34,뉴트리원오메가,80.0,780.0,0.5,10.4,0.58,1.35,14,3
35,오메가,9960.0,42200.0,2.1,12.2,0.03,0.04,15,3
36,오메가효능,260.0,700.0,0.2,0.9,0.08,0.14,15,3
37,오메가3가격,20.0,300.0,0.1,17.3,0.52,6.27,15,3
38,오메가3비교,80.0,220.0,0.2,4.1,0.24,2.0,15,3
39,오메가3효과,760.0,2510.0,0.1,9.3,0.01,0.4,15,3
40,노르딕오메가3,1440.0,6090.0,1.4,51.5,0.11,0.91,15,3
41,오메가3음식,230.0,1340.0,0.0,0.3,0.0,0.03,3,3
42,알티지클린오메가3,100.0,880.0,0.1,10.8,0.14,1.32,15,3
43,OMEGA3,120.0,400.0,0.2,9.8,0.17,2.6,15,3
44,나우푸드오메가3,900.0,3550.0,1.2,22.3,0.14,0.68,14,3
45,알티지,290.0,1220.0,0.6,13.5,0.22,1.19,15,3
46,오메가쓰리,280.0,2310.0,0.7,57.9,0.27,2.67,15,3
47,좋은오메가3,10.0,110.0,0.1,3.9,0.52,3.52,15,3
48,오메가3비타민D,850.0,3850.0,4.3,67.5,0.54,1.86,15,3
49,나우오메가3,260.0,1070.0,0.3,1.7,0.13,0.17,15,3
50,오메가3직구,50.0,250.0,0.1,0.0,0.13,0.0,15,3
51,미국오메가3,40.0,250.0,0.0,2.8,0.0,1.2,15,3
52,오메가3해외직구,10.0,30.0,0.0,0.0,0.0,0.0,14,3
53,약국오메가3,190.0,1270.0,0.9,11.4,0.47,0.96,15,3
54,오메가3섭취량,190.0,850.0,0.0,1.5,0.0,0.2,15,3
55,오메가3영양제,90.0,200.0,0.1,0.0,0.16,0.0,15,3
56,오메가3고르는법,190.0,880.0,0.5,8.8,0.25,1.06,15,3
57,오메가3먹는시간,720.0,5260.0,0.1,26.9,0.02,0.55,15,3
58,오메가3초임계,120.0,420.0,0.2,0.3,0.18,0.09,15,3
59,중학생오메가3,50.0,350.0,0.3,2.8,0.49,0.88,15,3
60,알티지오메가쓰리,90.0,2450.0,1.2,88.8,1.28,3.81,15,3
61,KD파마,80.0,120.0,0.3,1.8,0.34,1.48,15,3
62,뉴트리원오메가3,110.0,550.0,0.3,7.0,0.26,1.37,15,3
63,필수지방산,490.0,1280.0,0.0,0.0,0.0,0.0,3,3
64,오메가3순도,90.0,240.0,0.0,0.7,0.0,0.28,3,3
65,오메가큐텐,10.0,50.0,0.0,0.0,0.0,0.0,3,3
66,오메가3섭취방법,90.0,680.0,0.0,0.0,0.0,0.0,14,3
67,오메가3뉴트리코어,90.0,470.0,0.8,9.2,0.88,2.13,14,3
