,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,암막커튼,17700.0,120100.0,173.8,2004.5,1.04,1.76,15,3
1,커텐,6820.0,42900.0,99.5,958.7,1.55,2.38,15,3
2,암막커텐,970.0,5340.0,19.7,207.2,2.12,4.18,15,3
3,방음커튼,1140.0,3900.0,13.7,90.5,1.28,2.53,15,3
4,열차단커튼,10.0,40.0,0.0,0.0,0.0,0.0,13,2
5,그물커튼,10.0,50.0,0.0,1.0,0.0,2.35,6,2
6,흡음커튼,170.0,550.0,2.4,18.3,1.5,3.57,15,3
7,아띠채,40.0,100.0,2.5,9.7,5.32,10.6,2,1
8,100%암막커튼,520.0,3400.0,14.3,133.6,2.86,4.15,15,3
9,커튼싸게파는곳,10.0,60.0,0.0,1.2,0.0,1.93,15,3
10,빛차단커튼,10.0,50.0,0.1,0.3,0.75,0.56,15,3
11,거실암막커튼,310.0,5710.0,5.0,86.3,1.66,1.57,15,3
12,커텐주문제작,20.0,100.0,0.7,3.0,2.62,3.75,15,3
13,커튼재질,30.0,70.0,0.0,0.3,0.0,0.47,3,3
14,먼지커튼,10.0,50.0,0.0,0.3,0.0,0.69,14,3
15,코튼커튼,10.0,60.0,0.0,0.0,0.0,0.0,3,3
16,암막커튼지,10.0,100.0,0.2,1.2,1.06,1.47,15,3
17,암막커튼세트,60.0,430.0,0.5,11.5,0.81,2.84,15,3
18,암막커튼설치비용,10.0,50.0,0.1,2.5,0.52,4.81,15,3
19,아일렛암막커튼,120.0,720.0,1.0,16.0,0.9,2.43,15,3
20,암막커튼인테리어,10.0,20.0,0.0,0.0,0.0,0.0,3,3
21,커튼주문제작,150.0,510.0,4.7,17.4,3.29,3.66,15,3
22,암막커튼나비주름,60.0,610.0,1.0,3.3,1.73,0.57,15,3
23,암막커튼제작,150.0,460.0,5.2,25.3,3.45,5.88,15,3
24,찍찍이암막커튼,60.0,410.0,0.3,6.1,0.46,1.54,15,3
25,암막커튼세탁,190.0,2210.0,0.5,13.0,0.25,0.64,15,3
26,커텐쇼핑몰,10.0,50.0,0.4,4.0,2.86,7.41,15,3
27,안방암막커튼,230.0,4880.0,3.4,59.8,1.52,1.28,15,3
28,암막커튼핀형,120.0,1690.0,1.1,7.7,0.98,0.48,15,3
29,창문암막커튼,230.0,1450.0,1.1,20.8,0.48,1.52,15,3
30,커튼몰,40.0,60.0,0.5,1.3,1.12,2.16,15,3
31,3중커튼,10.0,140.0,0.1,0.0,0.71,0.0,15,3
32,호텔식암막커튼,30.0,2460.0,0.1,4.0,0.19,0.17,15,3
33,베이지암막커튼,40.0,240.0,0.8,3.5,2.11,1.55,15,3
34,에스닉커튼,30.0,170.0,0.1,0.3,0.25,0.18,15,3
35,오피스텔커튼,70.0,430.0,0.9,5.2,1.34,1.31,15,3
36,암막커튼맞춤,50.0,230.0,1.3,8.2,2.27,3.69,15,3
37,누빔커튼,200.0,1550.0,1.1,5.6,0.54,0.39,15,3
38,북유럽풍커튼,10.0,70.0,1.0,0.3,9.1,0.42,15,3
39,100암막커튼,10.0,110.0,0.4,1.7,2.86,1.66,15,3
40,거실커튼,4100.0,32000.0,70.9,818.1,1.82,2.69,15,3
41,커튼쇼핑몰,790.0,4740.0,32.6,252.0,4.36,5.67,15,3
42,양면암막커튼,40.0,1410.0,0.6,3.1,1.37,0.22,15,3
43,베란다암막커튼,30.0,120.0,0.0,0.0,0.0,0.0,3,3
44,홈쇼핑암막커텐,20.0,310.0,0.7,14.5,2.57,5.06,15,3
45,암막커텐싸게파는곳,20.0,220.0,0.9,12.1,4.13,5.52,15,3
46,베이지색커튼,10.0,120.0,0.0,1.3,0.0,1.18,15,3
47,암막방염커튼,20.0,30.0,0.1,0.3,0.31,0.93,15,3
48,케텐,80.0,570.0,2.1,27.3,2.56,5.07,15,3
49,호텔암막커튼,20.0,680.0,0.4,2.8,1.43,0.41,15,3
50,예쁜커튼쇼핑몰,30.0,210.0,1.8,11.0,5.81,5.42,15,3
51,형상기억암막커튼,220.0,1140.0,5.6,37.7,2.56,3.56,15,3
52,커텐추천,40.0,400.0,0.7,9.4,1.63,2.35,15,3
53,나비주름암막커튼,230.0,2220.0,3.3,50.3,1.48,2.41,15,3
54,맞춤암막커튼,40.0,1830.0,1.1,11.3,2.74,0.63,15,3
55,미니암막커튼,40.0,270.0,0.3,1.2,0.75,0.46,15,3
56,예쁜커텐,40.0,360.0,2.3,23.0,5.82,6.8,15,3
57,린넨암막커튼,90.0,4800.0,1.8,19.7,1.9,0.42,15,3
58,데코커튼,10.0,80.0,0.2,1.2,1.25,1.44,15,3
59,완전암막커튼,10.0,70.0,0.0,1.0,0.0,1.37,15,3
60,예쁜암막커텐,30.0,460.0,0.8,26.0,2.23,6.0,15,3
61,먼지없는암막커튼,50.0,690.0,0.7,7.3,1.31,1.08,15,3
62,디자인커튼,120.0,2450.0,2.1,11.4,1.73,0.48,15,3
63,커튼시공가격,20.0,90.0,0.2,3.3,1.11,3.5,14,3
64,블라인드형커튼,10.0,40.0,1.0,0.0,9.1,0.0,3,3
65,형상기억커튼,720.0,2230.0,7.0,56.5,1.05,2.7,15,3
66,패턴암막커튼,10.0,40.0,0.0,0.0,0.0,0.0,15,3
67,그린암막커튼,10.0,70.0,0.1,1.0,0.48,1.43,15,3
68,호텔커튼,90.0,520.0,1.5,13.8,1.64,2.99,15,3
69,보온커텐,10.0,10.0,0.4,0.0,3.23,0.0,8,2
70,가벼운암막커튼,50.0,200.0,0.2,5.3,0.38,2.67,15,3
71,100%암막,30.0,50.0,0.4,0.0,1.43,0.0,15,3
72,침실암막커튼,20.0,230.0,0.0,1.5,0.0,0.67,15,3
73,특이한커튼,10.0,50.0,0.7,3.3,4.67,5.51,15,3
74,가벼운커튼,40.0,220.0,0.5,3.0,1.2,1.53,15,3
75,빈티지암막커튼,10.0,100.0,0.0,0.0,0.0,0.0,3,3
76,실루엣커튼,20.0,100.0,0.1,0.8,0.52,0.79,15,3
77,100프로암막커튼,20.0,140.0,0.7,2.3,2.57,1.75,15,3
78,아이방암막커튼,100.0,1040.0,2.3,28.0,2.27,2.81,15,3
79,암막커튼1+1,50.0,230.0,0.2,4.8,0.41,2.11,15,3
80,커튼발,100.0,390.0,0.3,3.5,0.33,0.98,15,3
81,암막커튼핑크,10.0,60.0,0.0,0.0,0.0,0.0,3,3
82,암막커튼거실,10.0,330.0,0.0,0.0,0.0,0.0,8,2
83,호텔식커튼,30.0,210.0,0.7,7.2,1.99,3.64,15,3
84,아일렛커튼,440.0,2640.0,4.5,44.0,1.08,1.77,15,3
85,암막커튼가격,70.0,340.0,0.5,6.6,0.66,2.0,15,3
86,커텐브랜드,20.0,80.0,0.2,1.7,1.0,2.15,15,3
87,레일암막커튼,40.0,310.0,0.6,6.3,1.34,2.12,15,3
88,암막커튼추천,200.0,2000.0,3.3,27.1,1.71,1.39,15,3
89,아이보리암막커튼,20.0,270.0,0.1,4.7,0.23,1.85,15,3
90,거실커텐,1210.0,10800.0,32.1,391.4,2.78,3.85,15,3
91,창문형암막커튼,60.0,480.0,1.6,12.0,2.63,2.58,15,3
92,커텐세트,10.0,120.0,0.1,3.0,1.12,2.64,15,3
93,고급암막커튼,10.0,60.0,0.7,3.3,7.34,4.86,15,3
94,패브릭주문제작,40.0,60.0,0.6,1.5,1.34,2.37,15,3
95,소형커튼,70.0,320.0,0.5,1.3,0.64,0.42,15,3
96,핑크암막커튼,10.0,160.0,0.0,0.0,0.0,0.0,15,3
97,단열암막커튼,10.0,70.0,0.2,0.3,1.52,0.36,11,2
98,이쁜커튼,20.0,230.0,0.3,8.0,1.67,3.51,15,3
99,고급커텐,20.0,120.0,2.5,11.2,8.74,9.06,15,3
100,커텐맞춤,10.0,130.0,0.2,5.8,1.43,4.6,15,3
101,작은창암막커튼,410.0,5000.0,5.2,79.7,1.34,1.69,15,3
102,방음암막커튼,10.0,90.0,0.1,0.0,0.71,0.0,15,3
103,암막커튼셀프,20.0,60.0,0.0,0.0,0.0,0.0,3,3
104,모시커튼,30.0,140.0,0.4,1.3,1.03,0.92,14,3
105,커튼가격,130.0,750.0,0.9,11.5,0.68,1.62,15,3
106,침실커튼,100.0,720.0,0.7,10.8,0.71,1.61,15,3
107,암막커튼100%,20.0,650.0,0.4,0.7,1.91,0.11,15,3
108,커튼인테리어,100.0,360.0,0.5,1.8,0.49,0.53,15,3
109,커텐인테리어,190.0,1870.0,6.6,70.6,3.57,4.05,15,3
110,헤링본커튼,10.0,200.0,0.5,3.2,3.12,1.69,15,3
111,반암막커튼,40.0,160.0,0.8,4.5,1.91,2.87,15,3
112,봉커튼,330.0,1740.0,2.7,25.2,0.84,1.55,15,3
113,빈티지커튼,380.0,4300.0,1.3,33.8,0.38,0.85,15,3
114,커튼파는곳,10.0,120.0,0.0,1.0,0.0,0.92,15,3
115,스트라이프커튼,30.0,230.0,0.5,0.3,1.42,0.12,15,3
116,자수커튼,130.0,960.0,3.5,27.1,2.69,3.0,15,3
117,커튼브랜드,90.0,330.0,1.9,5.2,2.31,1.63,15,3
118,커튼주문,40.0,90.0,0.4,2.0,0.91,2.36,15,3
119,암막커튼베이지,10.0,100.0,0.1,0.3,0.36,0.32,15,3
120,32평거실커튼,180.0,1960.0,4.9,64.0,2.91,3.43,15,3
121,방한커튼핀형,20.0,130.0,1.0,0.3,5.27,0.26,3,3
122,화이트커텐,20.0,170.0,0.1,2.0,0.32,1.25,15,3
123,무대커튼,140.0,250.0,2.3,7.5,1.73,3.05,15,3
124,롱커튼,20.0,110.0,0.5,0.6,2.23,0.61,15,3
125,화사한커튼,10.0,30.0,0.1,1.0,1.34,2.86,15,3
126,다용도실커튼,80.0,780.0,0.2,5.0,0.24,0.68,15,3
127,암막커튼아일렛,40.0,260.0,0.5,2.4,1.34,1.0,15,3
128,봉집형암막커튼,10.0,60.0,0.3,0.3,1.88,0.58,15,3
129,커튼맞춤제작,30.0,120.0,1.7,7.2,4.63,6.12,15,3
130,인테리어커튼,130.0,740.0,1.3,10.5,0.97,1.5,15,3
131,이케아암막커튼,190.0,1710.0,0.4,20.5,0.22,1.3,15,3
132,우풍차단커튼,50.0,200.0,0.6,0.0,1.1,0.0,15,3
133,패브릭암막커튼,10.0,10.0,0.0,0.0,0.0,0.0,3,3
134,간이커튼,170.0,610.0,0.9,5.6,0.54,0.98,15,3
135,벨크로암막커튼,90.0,640.0,0.5,5.0,0.53,0.8,15,3
