,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,덴탈마스크,10300.0,143000.0,19.9,955.0,0.21,0.7,15,3
1,KF94마스크,10400.0,66900.0,43.1,1121.4,0.44,1.78,15,3
2,국산덴탈마스크,430.0,15400.0,1.8,35.5,0.46,0.25,15,3
3,일회용마스크,4670.0,44100.0,10.9,476.4,0.25,1.14,15,3
4,마스크제작,370.0,510.0,13.6,34.0,3.99,7.06,15,3
5,소형마스크,1180.0,10600.0,2.2,168.2,0.2,1.66,15,3
6,국산일회용마스크,80.0,3690.0,0.2,17.0,0.27,0.55,15,3
7,면마스크,1510.0,8760.0,4.7,186.3,0.33,2.26,15,3
8,대형마스크,540.0,3030.0,2.3,38.3,0.46,1.35,15,3
9,KF94마스크대형,150.0,820.0,0.9,9.0,0.64,1.18,15,3
10,KF-94마스크,560.0,3070.0,7.1,94.0,1.34,3.3,15,3
11,마스크인쇄,330.0,520.0,10.3,20.8,3.38,4.35,15,3
12,숨쉬기편한마스크,910.0,6290.0,5.7,111.8,0.68,1.89,15,3
13,KF마스크,660.0,2370.0,2.3,23.9,0.38,1.13,15,3
14,KF94마스크추천,410.0,920.0,1.5,26.5,0.37,3.04,15,3
15,KF94대형마스크,150.0,770.0,1.1,12.8,0.8,1.73,15,3
16,회색마스크,170.0,1010.0,0.9,28.5,0.56,3.09,15,3
17,귀안아픈마스크,1110.0,7240.0,5.7,140.3,0.55,2.07,15,3
18,KF80마스크,810.0,4810.0,1.7,67.1,0.22,1.49,15,3
19,1회용마스크,350.0,1780.0,2.2,41.4,0.65,2.46,15,3
20,그레이마스크,110.0,870.0,1.3,14.3,1.14,1.76,15,3
21,여름마스크,80.0,560.0,0.3,11.5,0.47,2.25,15,3
22,항균마스크,50.0,280.0,0.7,6.5,1.22,2.49,15,3
23,여름용마스크,60.0,500.0,0.5,7.3,0.85,1.57,15,3
24,마스크주문제작,110.0,230.0,6.5,11.7,5.84,5.29,15,3
25,KF94,4060.0,9270.0,4.8,73.2,0.13,0.85,15,3
26,마스크판촉물,10.0,10.0,0.7,0.6,3.93,3.51,15,3
27,마스크도매,40.0,50.0,1.7,2.8,4.34,5.73,15,3
28,마스크대량구매,30.0,10.0,0.9,0.3,2.8,1.79,15,3
29,마스크추천,1630.0,10300.0,12.5,272.2,0.8,2.76,15,3
30,마스크대형,380.0,2480.0,1.3,30.0,0.37,1.27,15,3
31,마스크중형,530.0,5860.0,3.1,114.5,0.63,2.06,15,3
32,마스크판촉,10.0,10.0,0.9,0.6,5.19,3.93,15,3
33,KC인증마스크,20.0,60.0,0.0,0.0,0.0,0.0,15,3
34,KFAD,660.0,3900.0,0.4,9.7,0.07,0.27,15,3
35,3겹마스크,10.0,20.0,0.0,0.0,0.0,0.0,5,2
36,1회용덴탈마스크,10.0,70.0,0.1,0.6,0.67,0.93,15,3
37,덴탈,570.0,2490.0,0.3,1.6,0.07,0.08,15,3
38,공산품마스크,110.0,360.0,0.0,0.0,0.0,0.0,15,3
39,검정일회용마스크,10.0,210.0,0.0,0.6,0.0,0.27,15,3
40,일회용덴탈마스크,80.0,1220.0,0.1,4.7,0.17,0.4,15,3
41,마스크대용량,40.0,150.0,0.1,0.3,0.31,0.22,15,3
42,일반마스크,240.0,2160.0,1.1,41.8,0.45,2.05,15,3
43,어린이용마스크,30.0,120.0,0.1,5.0,0.2,4.14,15,3
44,덴탈마스크추천,330.0,2590.0,1.8,23.6,0.58,0.98,15,3
45,파스텔마스크,10.0,130.0,0.4,5.3,2.86,4.45,15,3
46,예쁜마스크,120.0,1220.0,2.1,39.8,1.77,3.5,15,3
47,색마스크,30.0,200.0,0.1,5.5,0.42,2.93,15,3
48,살색마스크,130.0,880.0,1.3,23.8,1.07,2.86,15,3
49,색깔마스크,70.0,550.0,0.4,10.2,0.58,2.02,15,3
50,일회용컬러마스크,10.0,140.0,0.1,6.9,1.12,5.03,15,3
51,위즈윈,40.0,120.0,0.2,1.5,0.61,1.38,9,2
52,크리넥스덴탈마스크,240.0,1920.0,1.4,27.3,0.62,1.52,15,3
53,유한킴벌리덴탈마스크,1420.0,7500.0,1.7,77.3,0.13,1.09,15,3
54,일회용마스크50매,20.0,80.0,0.0,0.0,0.0,0.0,15,3
55,마스크50매,70.0,320.0,0.0,0.3,0.0,0.11,15,3
56,일회용대형마스크,20.0,140.0,0.1,1.3,0.56,0.94,15,3
57,3중마스크,10.0,110.0,0.1,0.8,0.61,0.67,15,3
58,일회용마스크대용량,10.0,30.0,0.0,0.0,0.0,0.0,3,3
59,덴탈마스크가격,10.0,40.0,0.0,0.0,0.0,0.0,14,3
