,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,무릎보호대,25600.0,170800.0,159.6,2803.6,0.66,1.74,15,3
1,등산스틱,11700.0,62300.0,54.1,995.5,0.49,1.71,15,3
2,등산가방,7530.0,59300.0,24.1,686.4,0.34,1.25,15,3
3,등산배낭,4150.0,18000.0,24.3,241.7,0.63,1.45,15,3
4,무릎보호대추천,1440.0,6580.0,10.1,167.0,0.75,2.7,15,3
5,여자등산가방,740.0,4120.0,6.6,83.3,0.96,2.16,15,3
6,겨울모자,3480.0,32600.0,18.8,249.0,0.56,0.8,15,3
7,남자등산가방,410.0,1330.0,2.6,27.8,0.67,2.27,15,3
8,등산화,22700.0,130400.0,147.1,1726.6,0.69,1.41,15,3
9,등산양말,4580.0,26900.0,13.9,247.3,0.32,0.98,15,3
10,텐트,12600.0,73500.0,40.6,613.8,0.35,0.91,15,3
11,백팩,18200.0,123400.0,77.4,825.5,0.46,0.72,15,3
12,스패츠,2440.0,8020.0,6.7,115.9,0.29,1.52,15,3
13,등산무릎보호대,2820.0,20300.0,14.6,199.3,0.55,1.03,15,3
14,여자등산복,1190.0,9070.0,12.3,220.1,1.09,2.69,15,3
15,헬스용품,1310.0,3770.0,29.9,79.1,2.41,2.25,15,3
16,겨울등산장갑,880.0,3870.0,5.6,43.2,0.66,1.17,15,3
17,등산장갑,5360.0,24000.0,13.9,251.3,0.28,1.11,15,3
18,남자슬링백,2030.0,11800.0,8.2,104.3,0.43,0.95,15,3
19,러닝무릎보호대,590.0,8910.0,2.1,32.3,0.37,0.38,15,3
20,슬링백,9780.0,64000.0,12.2,232.4,0.14,0.4,15,3
21,겨울여성모자,220.0,2670.0,3.7,37.8,1.67,1.45,15,3
22,니삭스,5140.0,36400.0,11.7,241.5,0.25,0.71,15,3
23,헬스무릎보호대,910.0,7530.0,4.4,77.2,0.52,1.08,15,3
24,여자등산양말,400.0,4660.0,1.9,51.2,0.47,1.18,15,3
